Year,主权_Mean_Cosine_Similarity,偏见_Mean_Cosine_Similarity,分裂_Mean_Cosine_Similarity,创伤_Mean_Cosine_Similarity,恐怖主义_Mean_Cosine_Similarity,欺凌_Mean_Cosine_Similarity,精神病_Mean_Cosine_Similarity,阴谋_Mean_Cosine_Similarity,主权_Semantic_Breadth,偏见_Semantic_Breadth,分裂_Semantic_Breadth,创伤_Semantic_Breadth,恐怖主义_Semantic_Breadth,欺凌_Semantic_Breadth,精神病_Semantic_Breadth,阴谋_Semantic_Breadth
1979,0.31588212,0.30701134,0.28762567,0.29234812,,0.2909903,,0.295812,3.165737936994569,3.2572087165953296,3.476741135429312,3.4205795867812827,,3.4365407505560723,,3.380525345856114
1980,0.32027495,0.30342,0.28928146,0.2987324,0.29403827,,0.2657644,0.29776052,3.122317255507859,3.295761571997329,3.456840988288987,3.34747754244001,3.400917893428399,,3.762731406852515,3.358403632802315
1981,0.3205583,0.29673055,0.2911539,0.3018938,0.28967926,0.32141712,0.27802986,0.30385026,3.1195572543043277,3.3700608388886795,3.434609576903802,3.312423104924789,3.452093889078246,3.111221923771872,3.596735988570858,3.2910947285391834
1982,0.3257335,0.31486246,0.2984903,0.2996683,0.30383405,0.3315507,0.27379474,0.31371474,3.0699942167301644,3.1759899237399303,3.350192777878509,3.33702283395656,3.2912703400369927,3.016130074665202,3.652371109826933,3.1876092003815124
1983,0.31139585,0.30691734,0.29599994,0.30275962,0.3037908,0.31051302,0.26808557,0.3129563,3.2113465479139007,3.258206269553331,3.378379015133743,3.3029504001751366,3.29173883664223,3.2204768785905253,3.730152291283858,3.19533426638102
1984,0.3117914,0.2913109,0.28517085,0.28570545,0.2870532,0.28973198,0.27187008,0.30732363,3.207272655671492,3.432758533907492,3.506669734989308,3.5001082751867068,3.4836748319932904,3.451465738003858,3.678227528011676,3.253898780749161
1985,0.3175188,0.29759124,0.2881072,0.28451446,0.292238,0.30043316,0.25719267,0.3039082,3.1494198089516745,3.360313975106917,3.470930426812194,3.514759884571886,3.4218685115461334,3.328527396064464,3.888135672565578,3.2904673287984165
1986,0.313725,0.29905698,0.2851781,0.2818401,0.2914233,,0.26585376,0.3014751,3.1875050347377907,3.343844406905766,3.506580684751545,3.5481113217490905,3.431434723966546,,3.761466417175939,3.317023444254577
1987,0.31079066,0.3036259,0.2825254,0.28050014,0.29373652,,0.26923165,0.29846644,3.2175999318783584,3.293526547667132,3.539504887088885,3.565060561369219,3.404411575215586,,3.7142736012016937,3.350460395300109
1988,0.30373546,0.30305982,0.28778416,0.2789471,0.29736805,,0.2767102,0.29650554,3.292338616503613,3.299678631133838,3.47482642143052,3.5849093009538238,3.362836058791648,,3.6138890283035146,3.372618258481316
1989,0.310381,0.30066973,0.29356706,0.28854558,0.2933738,0.30658284,0.26863405,0.30354387,3.2218467471519467,3.3259084676257893,3.406376707074866,3.465656983698484,3.4086207514817923,3.2617611786593708,3.722536275512508,3.294416764962482
1990,0.31370166,0.29330385,0.28939283,0.27566275,0.30173975,0.31841072,0.28043678,0.30560473,3.1877421425884904,3.4094336271460337,3.455510641567011,3.627621069510634,3.314114207365626,3.1405977354554544,3.5658660238257656,3.2722007046150856
1991,0.31346348,0.29544622,0.2925512,0.27605027,0.2886903,0.3140427,0.2656314,0.3117527,3.190164296955464,3.384710794237774,3.418205207637961,3.622528612036866,3.4639196542855726,3.1842804818285586,3.7646150709892425,3.207670625776419
1992,0.32241005,0.2985658,0.28977516,0.2750433,0.30249476,,0.26457387,0.31312364,3.101640315295787,3.349345381797898,3.450951385448535,3.6357910490521,3.3058423415080136,,3.779662716136048,3.193626610712455
1993,0.31193498,0.30281493,0.2961451,0.28743452,0.28321558,,0.27343252,0.30428243,3.205796307773502,3.302347073055295,3.3767229704877164,3.479053266757231,3.5308791685441165,,3.6572094240432538,3.286420482459199
1994,0.31137863,0.30497402,0.29151592,0.28701082,0.2891923,0.32323435,0.2713835,0.29805875,3.2115242024579893,3.278967833225677,3.430344427540913,3.484189217884665,3.45790685866387,3.0937306062311767,3.684822480356341,3.355043278841162
1995,0.30684075,0.2927693,0.2917575,0.28885165,0.28472367,0.30221722,0.25231272,0.28853002,3.2590195658121845,3.415658527309647,3.427504073900915,3.4619847418345358,3.512177271709585,3.308878347676651,3.9633356602304928,3.4658438431968066
1996,0.30603656,0.29477933,0.29057774,0.27307612,0.2810143,0.3285113,0.2606832,0.2894313,3.267583436290004,3.3923681091577493,3.441419847918565,3.6619826400204127,3.5585378515315336,3.0440353406193044,3.836073696390234,3.4550512922398884
1997,0.30194244,0.28984535,0.2885477,0.26544407,0.28489426,0.29840362,0.2697239,0.2867035,3.3118895343012644,3.450115756401973,3.4656315694996125,3.767271951565232,3.510074256247604,3.351165772008608,3.70749506763876,3.487923969766448
1998,0.30857545,0.30499667,0.28485668,0.2652738,0.2913281,0.3178234,0.2689824,0.29237127,3.240698492207029,3.278724329415996,3.510537335256707,3.769689899419309,3.432555911814504,3.146401329884595,3.717715215645536,3.4203086698622025
1999,0.30086595,0.29453114,0.29133755,0.25388268,0.28068197,0.3052545,0.24470915,0.28223634,3.3237393795541843,3.395226769673651,3.4324446027513624,3.93882723439641,3.562751138124748,3.2759550979088305,4.086483909874668,3.543129875779808
2000,0.29858825,0.28850824,0.28746408,0.2744956,0.28754225,0.3130474,0.26649404,0.28792366,3.349093653342628,3.4661055519573423,3.4786954676356103,3.643045622495262,3.4777497464065497,3.194404333229755,3.752429195254425,3.473142799770006
2001,0.29789403,0.2848534,0.27926677,0.26708916,0.2824382,0.3021186,0.2499766,0.28293163,3.356898415463103,3.510577736523621,3.580805490511959,3.744068109606925,3.540597694241026,3.3099584134737268,4.000374352200804,3.534422838098468
2002,0.30890507,0.2822394,0.2924603,0.27356696,0.28930306,,0.25237164,0.28886005,3.2372405412221394,3.5430913406564444,3.419267590776188,3.6554121714485417,3.456582813111647,,3.962410371901329,3.461884016926428
2003,0.29513764,0.29547477,0.2769529,0.26900253,0.2815164,,0.25597295,0.27004188,3.388249587809002,3.3843837422567864,3.6107223536174606,3.7174371971810594,3.5521908829686,,3.906662768669839,3.7031292661753503
2004,0.2451574,0.23036943,0.23881872,0.20833698,0.23289134,0.24102035,0.20464551,0.23725359,4.079012000497197,4.340853661336919,4.187276441607096,4.799916001836173,4.293848010051524,4.149027221813557,4.886498502060068,4.214899315210153
2005,0.289822,0.28096482,0.289306,0.26410732,0.28589097,0.30167642,0.26286003,0.27503887,3.450393544842456,3.559164433422451,3.456547561838533,3.786339630314746,3.497836996056149,3.314809928416478,3.804306041675855,3.635849749473738
2006,0.2917043,0.28629684,0.28712958,0.2737647,0.27803993,,0.2747217,0.2724142,3.4281291364544155,3.4928781761735355,3.482748090969197,3.652771891719362,3.596605681436205,,3.640047206966358,3.6708804923559497
2007,0.2788814,0.258599,0.27175197,0.2455411,0.26212522,,0.24744254,0.2578582,3.5857536466999878,3.8669907825651832,3.679826128973427,4.072638012028656,3.814970513775113,,4.041342227688655,3.878100640466651
2008,0.2800569,0.27141914,0.2637795,0.25132844,0.2748201,,0.25044513,0.27013093,3.570703032302347,3.6843385783845184,3.791045298871728,3.978857330618818,3.638744177693877,,3.992890618529516,3.701908520325813
2009,0.26833728,0.26942593,0.26471856,0.24248844,0.272613,0.25919813,0.24103378,0.26199356,3.726653268776159,3.711595261908886,3.777596822329257,4.1239078618217375,3.66820379269504,3.858052537550393,4.148796114717422,3.8168877533899552
2010,0.2620606,0.27686128,0.25855783,0.2419813,0.26909828,0.2488872,0.22883612,0.25738594,3.81591110044642,3.611917127838412,3.8676067724779415,4.132550777167933,3.716114399121097,4.0178844686887984,4.369939516564897,3.8852161174298807
2011,0.26322097,0.26996887,0.2592283,0.24640949,0.26591364,0.24638428,0.24319856,0.26740155,3.799089471175456,3.704130813282153,3.85760367190764,4.058285243562617,3.760619488912457,4.058700532200144,4.111866474020633,3.7396941568281865
2012,0.2691479,0.27968726,0.26008508,0.2351492,0.271274,0.26428872,0.25371704,0.2698876,3.715429285785073,3.5754221184652075,3.84489573573162,4.252619102599167,3.686309777208212,3.7837407017410127,3.9413987310020016,3.7052462338192953
2013,0.2722675,0.2693858,0.27040026,0.24917994,0.27452186,0.29357135,0.23571588,0.26354453,3.6728586204069473,3.712147951209237,3.6982213519109775,4.013164070743635,3.642697193973788,3.406326911402531,4.242395530584991,3.794425182065946
2014,0.27830115,0.27060083,0.2687177,0.25180346,0.27034605,0.2620858,0.25767046,0.2685699,3.593229856984782,3.695480226175368,3.721377404296708,3.971351342778575,3.698962927948208,3.8155444420943945,3.880926015841339,3.7234256317613417
2015,0.26931077,0.27032876,0.25924835,0.251339,0.2699191,0.25588256,0.2504666,0.26279822,3.713182324709486,3.69919944683602,3.8573052252052578,3.978690317004597,3.7048138110465496,3.908042796209734,3.992548544405554,3.805200812651784
2016,0.27524754,0.2659843,0.26724583,0.24639095,0.2655928,0.25631732,0.23515438,0.2584279,3.6330932704618726,3.759620443897065,3.741873178517192,4.058590565706706,3.765162117350717,3.9014141136030096,4.252525593686005,3.869551413894941
2017,0.28180188,0.27041516,0.27520972,0.24739294,0.27642024,0.25550172,0.25460398,0.27162296,3.5485923731522,3.6980175623265095,3.633592527851517,4.042152576947511,3.6176801517694,3.913868018007247,3.927668343030837,3.681573956288208
2018,0.28461918,0.27229673,0.26934162,0.24626541,0.27214777,0.25864393,0.23828255,0.27732298,3.51346663197293,3.672464271259337,3.712757085533169,4.060659572161036,3.6744742855816246,3.8663193008129135,4.196698478775796,3.605903874249564
2019,0.27678013,0.2797642,0.27865455,0.23719437,0.26711598,0.24668907,,0.27411053,3.612976139202343,3.574438692837973,3.588672842361494,4.21595159395006,3.743692154068008,4.053685941722944,,3.648163443968077
2020,0.27980778,0.28252268,0.28608662,0.23326002,0.27456936,0.2650271,,,3.5738820898239188,3.539538863750289,3.495444854582657,4.287061269089995,3.642066948955603,3.7731989599715914,,
2021,0.2851118,0.27459773,0.27433977,0.23272349,0.2775187,0.25690746,,0.27313074,3.507395864746338,3.641690645651044,3.645115023222997,4.296944853148095,3.6033609171495393,3.8924521227824656,,3.6612502232740303
