Year,主权_Mean_Cosine_Similarity,偏见_Mean_Cosine_Similarity,分裂_Mean_Cosine_Similarity,创伤_Mean_Cosine_Similarity,恐怖主义_Mean_Cosine_Similarity,欺凌_Mean_Cosine_Similarity,精神病_Mean_Cosine_Similarity,阴谋_Mean_Cosine_Similarity,主权_Semantic_Breadth,偏见_Semantic_Breadth,分裂_Semantic_Breadth,创伤_Semantic_Breadth,恐怖主义_Semantic_Breadth,欺凌_Semantic_Breadth,精神病_Semantic_Breadth,阴谋_Semantic_Breadth
1979,0.7921479,0.7805363,0.73113394,0.7588528,0.7058803,0.7535516,0.6995946,0.74106187,1.2623905608683077,1.281170405153756,1.3677384515348932,1.3177786608063176,1.4166708183079104,1.3270491322205469,1.42939922043068,1.3494150023063705
1980,0.8036936,0.76319194,0.7590629,0.76180005,0.73569775,0.74604917,0.65854335,0.7312488,1.2442552849390982,1.3102863771020778,1.317413903551499,1.312680406144051,1.3592538580697011,1.340394233974198,1.5185029240104833,1.3675236191690157
1981,0.7997808,0.728417,0.7455954,0.7549807,0.75449896,0.78215396,0.7156335,0.7200932,1.2503426156991737,1.372840046841416,1.34120999934847,1.3245371995395088,1.3253828764348583,1.2785206570217595,1.3973632926209474,1.3887091462002945
1982,0.8039125,0.78528184,0.74812967,0.7717829,0.7613438,0.78226864,0.71922165,0.7501974,1.2439164394301234,1.2734281539446048,1.336666684459978,1.2957012034257909,1.3134670959081685,1.2783332279308062,1.3903919575268364,1.3329824735361455
1983,0.8000917,0.7576702,0.75439984,0.7541764,0.7903923,0.7813239,0.7067549,0.751229,1.2498567603775252,1.3198354227246192,1.325557021881404,1.325949776258241,1.2651945442515269,1.279878917704929,1.4149176293582562,1.3311520398529586
1984,0.7901684,0.7465282,0.7353395,0.7502644,0.762974,0.71942824,0.68173236,0.7519323,1.2655530064285372,1.3395341112915995,1.359916024625211,1.332863443514869,1.310660610691078,1.3899926951136632,1.4668513096006135,1.3299069203970946
1985,0.7793725,0.7630459,0.7201143,0.7306537,0.76325494,0.7558884,0.67794174,0.7490721,1.28308348439598,1.310537139114808,1.3886684556810065,1.3686374209874343,1.3101782208341504,1.3229466105616887,1.475053004776255,1.3349850214969845
1986,0.7967132,0.7453751,0.72696996,0.6964794,0.786674,0.7562861,0.65602005,0.74175525,1.255156853683902,1.341606399644823,1.375572662786438,1.4357926860838932,1.271174554105863,1.3222509580620057,1.5243436647922668,1.3481535909425044
1987,0.7798569,0.7559299,0.71986824,0.67439604,0.74419606,0.73071307,0.6817151,0.74629825,1.2822864990276546,1.3228740083007955,1.389143096787922,1.4828082366608193,1.3437319240868917,1.3685262270836802,1.4668885026082683,1.339946858057951
1988,0.7701486,0.7667653,0.7353227,0.69607705,0.75500786,0.73259777,0.6983057,0.7294626,1.2984507562099348,1.3041800465120723,1.359947110516389,1.4366225718184298,1.3244895171916162,1.3650055231690372,1.432037519804746,1.3708721566433129
1989,0.7749964,0.7652644,0.7432674,0.7057751,0.7674991,0.76737404,0.675398,0.7502073,1.2903285746302071,1.3067379203654863,1.3454107864677651,1.4168819859840531,1.3029331422254715,1.303145466973218,1.4806084881008337,1.3329648930312823
1990,0.7768261,0.72462475,0.72415555,0.73641944,0.787479,0.78776544,0.6819698,0.74742436,1.2872894217047384,1.380024620829195,1.38091879097042,1.3579217856186627,1.2698751599433986,1.2694133875422946,1.4663405454940346,1.3379280206065536
