Year,Concept,Mean Cosine Similarity,Semantic Breadth
2004,偏见,0.23088585,4.33114461937333
2004,欺凌,0.23995078,4.167521423571419
2004,精神病,0.20646986,4.843321840323131
2004,创伤,0.20998278,4.762295211097932
2004,分裂,0.24072917,4.154045843590439
2004,阴谋,0.22972511,4.353028759730345
2004,主权,0.24034712,4.160649030076837
2004,恐怖主义,0.23109622,4.327201834078565
