Year,Target Concept,Sentence With Concepts,Context Words
1979,偏见,1,"['王昭君', '这出', '戏', '一扫', '历代', '文人', '的', '还', '昭君', '以', '本来面目', '热情', '地', '讴歌', '了', '这个']"
1979,偏见,2,"['但是', '无产阶级', '虽然', '不', '受', '阶级', '的', '限制', '仍然', '不能不', '受', '历史', '条件', '的', '限制']"
1979,偏见,3,"['殖民主义者', '以', '种族', '的', '对', '非洲', '传统', '医生', '及其', '验方', '采取', '全盘否定', '不屑一顾']"
1979,偏见,4,"['的', '嘲讽', '了', '对', '中国', '文明', '的', '无知', '和']"
1979,偏见,5,"['最', '解放', '的', '思想', '它', '反对', '一切', '教条', '一切', '一切', '想要', '建立', '最终', '思想体系', '的', '企图']"
1979,偏见,6,"['无情地', '揭露', '小', '资产阶级', '民主派', '关于', '自由', '平等', '的', '同', '这些', '作', '无情', '的', '斗争', '资产阶级', '民主派', '关于', '自由', '平等', '的', '同', '这些', '作', '无情', '的', '斗争']"
1979,偏见,7,"['顾忌', '地', '施加压力', '并用', '讹诈', '来', '宣扬', '他们', '的', '使', '所有', '致力于', '巩固', '在', '万隆', '和', '贝尔格莱德', '会议']"
1979,偏见,8,"['要是', '不', '同意', '就', '被', '苏联', '扣', '上', '民族主义', '利己主义', '闭关自守', '背离', '国际主义', '反苏', '主义', '亲', '西方', '主义']"
1979,偏见,9,"['就是', '缺德', '昧着良心', '诅咒', '红日', '就是', '怀着', '阶级', '的', '对', '社会主义', '制度', '恶毒攻击']"
1979,偏见,10,"['在', '的', '压力', '下', '村里', '的', '病人', '都', '不敢', '让']"
1979,偏见,11,"['的', '思想', '仍然', '陷在', '宁', '左', '勿', '右', '的', '之中', '往往', '用', '左', '的', '尺子', '量', '东西']"
1979,偏见,12,"['社会', '原因', '造成', '的', '具有', '普遍性', '的', '迷信', '或']"
1979,偏见,13,"['至于', '那些', '怀着', '阶级', '的', '对', '社会主义', '制度', '恶意', '攻击', '的', '人', '就', '当然']"
1979,偏见,14,"['打破', '长期', '中世纪', '宗教', '统治', '下', '形成', '的', '种种', '曾经', '仔细分析', '过', '阻碍', '人们', '认识', '真理', '的', '种种原因']"
1979,偏见,15,"['中', '发掘', '人才', '培养人才', '应该', '打破', '任何', '的', '狭隘', '应该', '具有', '极高', '的', '知人善任', '的', '才能']"
1979,偏见,16,"['有些', '人', '的', '脑子里', '装着', '一些', '抵触', '东西', '自满', '自以为是', '个人利益', '等', '因而', '提不起', '上', '进', '情绪', '甚至']"
1979,偏见,17,"['思想', '上', '消除', '了', '十多年', '来', '形成', '的', '许多']"
1979,偏见,18,"['说', '的', '旧', '东西', '包括', '资产阶级', '的', '人生观', '阶级', '思想', '感情', '生活', '方式']"
1979,偏见,19,"['的', '认识', '条件', '只有', '它', '才能', '摆脱', '剥削阶级', '的', '掌握', '社会', '发展', '的', '真理']"
1979,偏见,20,"['无产阶级', '中', '不可避免', '的', '种种', '行会', '狭隘性', '或', '行会', '的', '传统', '和', '恶习', '并', '领导', '全体', '无产阶级', '的']"
1979,偏见,21,"['但', '常常', '被', '一些', '幼稚', '的', '青年', '或是', '带有', '的', '人们', '所', '忽视', '的', '道理', '明明白白', '地', '倾注']"
1979,偏见,22,"['当然', '这种', '是', '在', '过去', '若干年', '的', '现实生活', '中', '形成', '的', '过去', '若干年', '的', '现实生活', '中', '形成', '的', '要', '改变', '必须', '改变', '造成', '这种', '的', '某些', '政策', '制度', '形成', '的', '要', '改变', '必须', '改变', '造成', '这种', '的', '某些', '政策', '制度', '做法', '等']"
1979,偏见,23,"['无识', '之', '人', '其', '平日', '对于', '贵国', '人', '之', '至此', '逐渐', '消灭', '而', '美国', '国人', '对华', '之', '感情']"
1979,偏见,24,"['这些', '存有', '的', '人', '除了', '受', '极左', '路线', '影响', '以外', '有']"
1979,偏见,25,"['的', '广大干部', '认识', '到', '继续', '解放思想', '落实', '党的政策', '扫除', '理直气壮', '地', '恢复', '和', '完善', '行之有效', '的', '劳动', '管理制度']"
1979,偏见,26,"['他', '要求', '伊朗', '允许', '中立', '的', '不抱', '的', '观察员', '探望', '美国', '人质']"
