Year,主权_Mean_Cosine_Similarity,偏见_Mean_Cosine_Similarity,分裂_Mean_Cosine_Similarity,创伤_Mean_Cosine_Similarity,恐怖主义_Mean_Cosine_Similarity,欺凌_Mean_Cosine_Similarity,精神病_Mean_Cosine_Similarity,阴谋_Mean_Cosine_Similarity,主权_Semantic_Breadth,偏见_Semantic_Breadth,分裂_Semantic_Breadth,创伤_Semantic_Breadth,恐怖主义_Semantic_Breadth,欺凌_Semantic_Breadth,精神病_Semantic_Breadth,阴谋_Semantic_Breadth
1979,0.75343305,0.71060973,0.69164,0.6958254,0.67053777,0.7137697,0.6354653,0.6976088,1.327257945071674,1.407242192263363,1.4458388351258218,1.4371421378406894,1.491340301839409,1.4010121696177424,1.5736499889929398,1.433468097137253
1980,0.7823626,0.6994534,0.68318987,0.7182706,0.68848723,0.69375783,0.6009696,0.68531877,1.2781797406738724,1.4296877829438577,1.4637219395108578,1.3922329554068804,1.4524597609242362,1.4414251685557369,1.6639776438550504,1.459174980546179
1981,0.7470223,0.6835605,0.69144154,0.6870408,0.6959874,0.71784586,0.6541235,0.6968312,1.3386481750431702,1.4629283197895544,1.4462538739829718,1.4555176221466948,1.436807613363706,1.393056726661909,1.5287633341355054,1.4350677211175062
1982,0.7554273,0.74987644,0.70425445,0.71138656,0.71507794,0.7327218,0.66904485,0.6987472,1.3237541173967078,1.3335530325123786,1.4199413326422596,1.4057054972205478,1.39844896443841,1.364774451087413,1.4946681027839472,1.4311327111337142
1983,0.7612043,0.68774664,0.7075843,0.7161924,0.7258731,0.7242534,0.65987027,0.71067214,1.3137077614565438,1.4540238163209451,1.4132591263210963,1.3962727977486151,1.3776512485907113,1.380732182718792,1.5154493998890413,1.4071186184800932
1984,0.7519454,0.6903542,0.6667327,0.6951567,0.70625454,0.6626881,0.64574987,0.6802956,1.3298838338399832,1.448531723878199,1.4998513756446832,1.4385245936779814,1.4159200977974062,1.5090055721047042,1.5485872334808797,1.469949268697169
1985,0.7425074,0.6958662,0.6619867,0.68587095,0.7070928,0.7066585,0.6397875,0.67404616,1.346787927663079,1.437057815114361,1.5106043474087756,1.4580002355087185,1.414241482101271,1.4151107284373623,1.5630189830250143,1.4835779226073424
1986,0.73039114,0.6802056,0.63181156,0.63738626,0.71095306,0.70459074,0.5992976,0.6385501,1.3691294139920824,1.4701437685178598,1.5827504030881396,1.5689073627162948,1.4065626280358352,1.4192636183303526,1.6686201116012709,1.566047825777299
1987,0.7367021,0.71221954,0.6765199,0.61780256,0.69867486,0.6719512,0.6357628,0.6853899,1.357400801468631,1.4040614572140857,1.4781531825214185,1.6186401031856514,1.4312809300331288,1.4882033659556464,1.572913645086923,1.4590235929695743
1988,0.7012914,0.7124775,0.6791365,0.6443764,0.69711983,0.66757095,0.65905774,0.6756067,1.425940807517298,1.4035530844014197,1.472458008674726,1.551888002803112,1.4344736070343622,1.4979681217344814,1.5173177474058877,1.48015103927727
1989,0.74140185,0.70824,0.69699097,0.64801735,0.7228632,0.69013846,0.64652973,0.7022901,1.3487962006193754,1.4119508057997214,1.4347388239415035,1.5431685661612702,1.383387622579577,1.4489846010770555,1.5467192724529777,1.4239129595289546
1990,0.7390619,0.701013,0.679326,0.6884363,0.74513423,0.7412225,0.62753886,0.69444704,1.3530666521713428,1.426507010812898,1.4720472986389024,1.452567154500264,1.3420400698232613,1.3491225629540875,1.5935268140179544,1.4399946167193436
1991,0.7535392,0.7156858,0.6737215,0.67524654,0.74037224,0.7491131,0.6291313,0.6988221,1.3270709657823068,1.3972612300187846,1.484292859056985,1.4809405833314282,1.3506719258762208,1.3349119416627837,1.5894932786815663,1.4309793967037148
1992,0.7636542,0.6889503,0.7039641,0.61104435,0.7434331,0.68288267,0.6088497,0.66404676,1.309493270796085,1.4514835100376615,1.4205269556273294,1.6365424284525485,1.345110913097028,1.4643804110546772,1.6424414646077854,1.5059180371777536
1993,0.71865934,0.6986497,0.72308475,0.66215765,0.7010782,0.75249,0.62672925,0.6716178,1.3914798604606762,1.431332459774206,1.3829637577815954,1.5102143618033474,1.4263744522680395,1.3289213427627948,1.5955853346130568,1.488942060691646
1994,0.72125304,0.7095035,0.69742036,0.6779855,0.7054018,0.7214347,0.6093735,0.6670714,1.3864759634590564,1.4094363730041255,1.4338554755190511,1.4749578208989786,1.4176318105148278,1.3861268148014,1.6410296538662394,1.4990898978617984
1995,0.7233951,0.7063381,0.6991603,0.68805116,0.68965703,0.75173694,0.5957815,0.6693358,1.3823704187580068,1.415752582594982,1.4302872055095144,1.4533802892914618,1.4499960892007926,1.3302525766423594,1.6784676788832635,1.4940184375370391
1996,0.7330548,0.70222706,0.68347186,0.65575606,0.7008971,0.7482745,0.6599132,0.64926565,1.3641544631962337,1.42404083040959,1.463118031212841,1.524957322741332,1.4267429604743629,1.336407953408816,1.515350847481815,1.5402016181226803
1997,0.7336366,0.71392715,0.69062144,0.64833677,0.7243544,0.74033123,0.63602877,0.6810774,1.363072638316334,1.4007031394147964,1.447971273973058,1.542408280889185,1.3805397176747458,1.3507467415073404,1.572255930019065,1.4682618592102294
1998,0.7624964,0.70328367,0.695077,0.6327847,0.73933303,0.71600914,0.6356726,0.69242984,1.3114815814527296,1.421901355200234,1.43868952224409,1.580316277716876,1.3525704311932891,1.3966302161722983,1.5731367917517949,1.4441896368654852
1999,0.6998582,0.70050454,0.6998282,0.6408354,0.6993447,0.7323007,0.6059722,0.66857433,1.4288608981753197,1.4275424938796084,1.4289221115887183,1.5604630972947422,1.429910039642695,1.3655592596008113,1.6502408000530369,1.495719997546541
2000,0.73474014,0.6889178,0.7000157,0.6512515,0.7441553,0.7456501,0.6219881,0.67539096,1.3610254132143913,1.4515519518177822,1.4285393400977409,1.535505112625292,1.3438055422994934,1.341111579094788,1.6077477552241546,1.480623906777582
2001,0.74779165,0.6848867,0.70669866,0.63635325,0.7223061,0.72621614,0.6098604,0.6646317,1.337270886607871,1.4600955294168432,1.4150302839740374,1.571454209142623,1.3844546484919278,1.3770005215906092,1.6397194617543804,1.5045926388279809
2002,0.757511,0.6885544,0.7146845,0.6411645,0.7360483,,0.6260153,0.64331055,1.320112808902971,1.4523180609184918,1.3992188427824357,1.559662190647818,1.3586065283373556,,1.5974050333654073,1.5544592030360531
2003,0.73864967,0.71077883,0.6988097,0.66530246,0.70106786,,0.5924181,0.6513801,1.353821771823811,1.4069074012422755,1.4310047840849958,1.5030757692917252,1.426395431988544,,1.6879971136295082,1.5352018992811811
2004,0.6820668,0.62806964,0.63200206,0.5788119,0.64001024,0.7238399,0.584862,0.6223489,1.4661320601210397,1.592180130318508,1.5822733345059314,1.7276770359593576,1.5624750060302173,1.381521008944486,1.7098050661839013,1.6068157147752546
2005,0.721593,0.66484284,0.76720846,0.64569664,0.7290668,0.7447551,0.6317707,0.6625643,1.3858227131245973,1.5041148581361017,1.3034267165396871,1.5487148887398792,1.371616448426553,1.342723284996611,1.5828528401686406,1.5092875268622192
2006,0.744189,0.6861785,0.72428733,0.64997333,0.71653086,0.702741,0.61469173,0.6601719,1.3437446237291175,1.4573467284390034,1.380667529384172,1.538524658490347,1.3956133037161331,1.4229993151845652,1.6268317014479847,1.51475693010205
2007,0.74647194,0.6709113,0.70999205,0.6434228,0.68254197,0.78028286,0.639842,0.64083844,1.3396350812989206,1.4905099704833606,1.408466472851459,1.5541880507201449,1.4651113765477262,1.281586534355656,1.562885901482538,1.5604556951900133
2008,0.69706947,0.66792023,0.68650264,0.6532777,0.7123548,0.68654925,0.6214021,0.6681642,1.4345772532179666,1.4971847720144549,1.4566586467687763,1.530742603612112,1.403794891447228,1.4565597520832998,1.6092639925366872,1.496638116099692
