Year,主权_Mean_Cosine_Similarity,偏见_Mean_Cosine_Similarity,分裂_Mean_Cosine_Similarity,创伤_Mean_Cosine_Similarity,恐怖主义_Mean_Cosine_Similarity,欺凌_Mean_Cosine_Similarity,精神病_Mean_Cosine_Similarity,阴谋_Mean_Cosine_Similarity,主权_Semantic_Breadth,偏见_Semantic_Breadth,分裂_Semantic_Breadth,创伤_Semantic_Breadth,恐怖主义_Semantic_Breadth,欺凌_Semantic_Breadth,精神病_Semantic_Breadth,阴谋_Semantic_Breadth
1979,0.77987653,0.7152693,0.73331374,0.69735825,0.67053777,0.7137697,0.6354653,0.6803668,1.282254256044161,1.398074769912705,1.3636727997962768,1.4339831773895635,1.491340301839409,1.4010121696177424,1.5736499889929398,1.469795379818989
1980,0.7473906,0.71316576,0.71447337,0.7087918,0.68848723,0.69375783,0.59517413,0.67666006,1.337988412915916,1.4021985575184022,1.3996322977950717,1.4108515515172828,1.4524597609242362,1.4414251685557369,1.6801805442264754,1.4778469394154858
1981,0.77641165,0.66972154,0.6927298,0.699536,0.70587105,0.71784586,0.6541235,0.69006515,1.2879765478742329,1.4931578792322542,1.4435643474053734,1.4295189432892077,1.4166893602569244,1.393056726661909,1.5287633341355054,1.449138543704046
1982,0.77254486,0.7355535,0.6912235,0.7109371,0.71507794,0.7327218,0.66904485,0.6857891,1.2944232117638923,1.3595204099658524,1.446710068272247,1.4065942320905098,1.39844896443841,1.364774451087413,1.4946681027839472,1.458174222850166
1983,0.75185716,0.6778235,0.6949789,0.7108851,0.7258731,0.7242534,0.65987027,0.7024431,1.3300398681789465,1.475310348029646,1.4388926201290912,1.4066970730227952,1.3776512485907113,1.380732182718792,1.5154493998890413,1.4236028049119902
1984,0.7186773,0.70579004,0.6643012,0.6957713,0.70697,0.6626881,0.64574987,0.7089624,1.3914451236767051,1.4168519520669878,1.5053412142080058,1.4372539268686435,1.4144872248416405,1.5090055721047042,1.5485872334808797,1.41051207646614
1985,0.74433684,0.7114189,0.6732987,0.6808821,0.72069097,0.7066585,0.6397875,0.66087556,1.3434777664779507,1.4056415459964449,1.485224871853753,1.468683059002359,1.387557285520662,1.4151107284373623,1.5630189830250143,1.5131441715522818
1986,0.73810166,0.70199454,0.69809043,0.6237683,0.71845526,0.70459074,0.5992976,0.67875975,1.3548269195967373,1.4245125074782334,1.4324791619955373,1.6031593021220254,1.3918751279173769,1.4192636183303526,1.6686201116012709,1.4732753298098238
1987,0.75123066,0.7004304,0.6502555,0.6404434,0.70702314,0.6719512,0.6357628,0.6730773,1.3311490825726289,1.4276936147848505,1.5378570393429492,1.561418267362702,1.414380856997373,1.4882033659556464,1.572913645086923,1.4857134861853094
1988,0.7405967,0.7234229,0.6671448,0.6355892,0.70742863,0.66757095,0.65905774,0.64703155,1.3502625440930256,1.3823173427550843,1.498925026302548,1.5733433288785386,1.413570149274355,1.4979681217344814,1.5173177474058877,1.5455196995261709
1989,0.7244947,0.6905803,0.70119125,0.63673025,0.7217899,0.69013846,0.64812416,0.71551317,1.3802723553196692,1.448057507261988,1.4261444434423318,1.5705237723426058,1.385444718560649,1.4489846010770555,1.5429142504050362,1.397598314406673
