Year,cnt_set240,Spearman Correlation,p-value
1979,217,0.36980076792692146,1.9496567933501776e-08
1980,213,0.3774040012917857,1.2903263916622166e-08
1981,213,0.43440673941644947,3.244494736406444e-11
1982,213,0.41778795222275333,2.0903610577458015e-10
1983,211,0.3792761275754748,1.2657214986430598e-08
1984,211,0.40867397103287684,6.71216720020189e-10
1985,211,0.38670942623731314,6.188133809314826e-09
1986,211,0.4195955608343818,2.0913554468124434e-10
1987,211,0.4319492599080223,5.3119242372625765e-11
1988,211,0.4202094132030358,1.9562285490954575e-10
1989,211,0.4561034882829262,3.0889467841408755e-12
1990,211,0.426819344848022,9.447766705643825e-11
1991,211,0.38210329779780844,9.66164080017053e-09
1992,211,0.40174018595302335,1.3773223494545806e-09
1993,211,0.3996578147544676,1.7037127397181205e-09
1994,211,0.44252974964203373,1.5704794235559128e-11
1995,211,0.45191638913981796,5.140396365694764e-12
1996,211,0.4244929657360158,1.2228132743240444e-10
1997,211,0.39831768752300445,1.95208670907836e-09
1998,211,0.4756420067557553,2.6116804291870577e-13
1999,211,0.42723134773853366,9.024003377369836e-11
2000,211,0.49459733354015456,2.0363673172330018e-14
2001,211,0.4345528626703883,3.9510717262436615e-11
2002,211,0.4388632432985644,2.4071231620272737e-11
2003,211,0.484761642829921,7.804439556064964e-14
2004,211,0.4866063937567398,6.085879391664928e-14
2005,211,0.48152821859461764,1.2025870772561157e-13
2006,211,0.48677694379048647,5.947084391477924e-14
2007,211,0.49459350095512655,2.0374508388493594e-14
2008,211,0.48531481260229814,7.244679665967912e-14
2009,211,0.49077624626722194,3.449509799455682e-14
2010,211,0.5073777270802476,3.3280802664139616e-15
2011,211,0.5182373567571329,6.721075187883409e-16
2012,211,0.5072199523299276,3.4049181371218722e-15
2013,210,0.5012876065694911,9.225767868702357e-15
2014,210,0.5127579715746641,1.7714640028816068e-15
2015,210,0.52639761760776,2.2925334237260554e-16
2016,210,0.5228709161038817,3.9242080816018396e-16
2017,210,0.49191330611788153,3.397106476201777e-14
2018,210,0.4766350365126181,2.6152899042757754e-13
2019,210,0.4754072027169449,3.068052709927355e-13
2020,210,0.3973817666522698,2.3438680510082925e-09
2021,210,0.48036518910453935,1.6038025859615224e-13
2022,209,0.46314244953795175,1.6519175550251031e-12
2023,234,0.42247701584282915,1.5137321853335896e-11
