Year,保全,友善,友爱,善良,助人为乐,关心,关怀,爱护,关爱,照顾,庇护,保护,热心,同情,怜悯,共情,关照,戕害,欺负,伤害,折磨,践踏,忍受,遭受,暴力,暴虐,残暴,杀戮,危害,损害,妨害,毁坏,毁灭,滥用,虐待,无情,正直,公平,公正,公平正义,合理,公平合理,客观,正义,权利,一致,平等,互惠,互利,互惠互利,平衡,诚信,驱逐,排外,作假,不公,歧视,不平,偏颇,盲从,偏见,偏执,偏心,偏爱,排斥,团体,忠心,忠诚,忠心耿耿,矢志不渝,热爱祖国,同胞,爱国,团结,团结互助,团结合作,祖国,社群,集体,成员,服务,奉献,投身,投身于,敌伪,汉奸,背叛,变节,不忠,敌对,唾弃,邪恶势力,势力,叛变,特务,叛徒,叛乱,领导岗位,权威,服从,尊崇,合法,责任,尊敬,敬重,敬意,崇敬,敬仰,敬佩,秩序,威严,干部,领导,一把手,无序,反叛,违抗,犯上,颠覆,反抗,反复无常,无所顾忌,任性,不法,非法,不服,煽动,违法,挑动,混乱,崇高品质,崇高,纯净,神圣,清白,纯洁,圣洁,光荣,庄严,风范,光辉,荣耀,崇高精神,高尚,高尚情操,赤诚,情操,糟粕,玷污,传染,罪恶,肮脏,恶心,纳粹,法西斯,堕落,泯灭,松懈,庸俗,粗鄙,粗俗,低劣
1979,31.156698530830457,2.10313596957155,12.318010824292354,39.281651262827744,46.707299518826545,93.8222226921898,100.0,64.71921462802176,0.0,30.151257869559196,32.053827430467436,18.40117703693556,57.36113837005629,100.0,45.95953197750846,0.0,35.509950301498584,18.27725591385726,63.967275169090975,34.47418199278477,100.0,100.0,82.80758003040867,81.6984761879369,8.696316158009365,100.0,100.0,20.1226677958191,80.10179972756163,35.07196815653646,37.13305539553129,100.0,84.36275294501785,37.82335363862847,39.807664097103675,86.38384863817588,61.212662100909945,5.602524189466211,30.907863581736606,0.0,86.79324391957675,38.51624330034318,100.0,100.0,66.52331675157139,100.0,50.23672076767398,12.269856325462566,7.512376264106867,1.40260583194104,77.88873740613698,0.0,46.649643477982146,7.904743218716124,6.252104916174778,5.7546513317826005,74.44081448046228,80.71384570071211,15.544560000318297,76.69341176819803,31.558196978494777,6.418104162816535,100.0,15.994609229439652,64.59568444035651,68.0262408402309,46.05785518468302,24.02848205892969,100.0,3.7793716369745107,41.259123598418,25.12174935934457,69.56434118331732,91.08802684577616,19.216506718408315,12.974611769025824,94.11999934716498,0.0,97.49117189665702,43.97224641181525,16.205398083736476,0.35447541655718506,13.817356555404906,44.4791265483388,21.352509199390237,28.39663594558083,100.0,36.02129731322778,0.0,70.1618284244163,85.6112503458955,40.69446338720712,78.1352690317398,48.321252493354336,80.8310429514654,87.49359037321474,38.09738750152494,56.28280367700364,32.625562222536914,100.0,5.825129717474939,70.62495338090456,23.100964051283988,84.16305775880163,28.88234884459791,100.0,92.57198490810865,71.03995860881352,77.83825379437914,29.189789272655943,52.525179402866804,100.0,100.0,4.7422090017339205,0.0,31.133433230908526,100.0,78.74521531776792,58.19336423051431,78.93317826667328,70.93732160140911,40.927493335368766,1.2405018325377164,4.0580050291286085,30.035623885105426,47.553736038840796,87.03788525491044,10.919059217523321,83.24745414793985,62.876705675390724,100.0,81.1034401139226,10.320568524801493,60.23409508735189,31.696564132011133,38.761594200265584,13.333413464130874,99.85806290296657,46.90900264543906,0.0,91.72255787748705,5.476208013191968,20.86795101909372,39.71336535989703,25.658166868539524,22.699942912450915,32.93007592012774,30.017747761023138,76.09306543728329,9.46521889147133,100.0,100.0,30.435037718464564,33.988228123395345,97.32069800415924,67.12574999134021,2.427448051059167,11.368730042694933,20.329399919851245,0.0,7.138516279424785,67.25451942448237
1980,35.92878158536185,2.627365633385047,20.517879826225343,55.398001543349665,54.85860321416245,92.47184860619073,74.53320143774343,87.32398984867804,0.0,41.78337792253214,39.25842629056275,20.06899590399346,81.02881114447385,80.47386469533065,95.69241408324672,0.0,52.57623010108684,30.444082712943498,47.35515186130428,33.95248750349067,69.70513980614874,52.90030069471248,100.0,75.00063202496052,22.6865217469039,75.71278467728078,60.756406720539246,23.941393362186204,74.7854642669351,33.91256215660296,29.254246097702406,69.69871951142585,73.45439790785088,40.32105693178284,48.37141260956477,73.34094951383751,100.0,6.180948025120549,30.871897914581314,0.0,95.21752939927913,17.49703221345985,75.88364568642557,88.74840212963613,52.18693862732787,96.30590244945422,50.48364138789406,7.664126167425082,8.759257068085189,25.699236788485763,67.48157691684264,0.23341615914040437,55.28898406352285,18.80968952493241,7.810510509418808,9.585414897873829,62.629960804276976,78.69865781870763,31.070738799069314,60.679720010833336,39.4244230484938,10.690515847345132,0.0,43.293121463942796,82.490129614661,56.190631988221305,30.139098939123542,21.189066533731193,84.98373790307026,6.295228521244815,40.931532920786466,25.537651893589608,58.952431062743116,67.36371822020689,24.621980907113922,14.243987813523699,65.80465174396647,4.033220901802267,98.81287561740652,51.22591660056538,16.61680894652401,0.8118592068373028,8.585076667507918,37.044023840866885,77.0606947268773,59.12468052993955,77.60560429421281,100.0,79.31987936768466,49.60063219388264,59.41710649775601,28.677848340243468,72.55839713251532,100.0,87.6106783860129,100.0,81.21126472171763,88.32833873398621,23.198138616805014,88.6380386329023,9.009751608335224,52.82701288984365,26.197978605046647,95.19799505690375,48.10878729899333,41.23774000383934,56.53832093466868,49.57064550174391,62.89173027866259,17.54044587588388,55.41046453582287,92.93944862371913,95.85239981880103,8.202816705058005,0.0,37.041697416055754,33.31362525800355,65.58221484892303,39.898611659329724,100.0,59.07948371589558,85.21519848274454,3.615991153339963,6.083408647596791,29.659562119956107,39.60468355039901,44.47278924508663,9.15833146557412,61.62832202594003,60.59007830105101,52.052539465630545,56.082779133594485,34.381555228478334,42.29060034400785,13.893782361317045,47.11460680667862,12.690981130116427,62.1367724021499,42.1198892732902,3.1727452825291067,57.017069759932184,10.261819214232379,12.55198930830833,60.154982165333216,51.89654089185505,33.36253198074103,42.80040966622591,100.0,52.81116388979994,6.6383316870621405,68.86951375452655,51.25173116615931,35.48655044431462,25.09009812532208,100.0,62.116724454831726,32.34683788250246,13.255676430561097,56.71935339193846,3.1485765851769902,8.917869608659313,30.276916986680074
1981,28.729929278624333,3.912085556094603,31.08661602259342,49.361892119892666,100.0,94.93214451295476,96.60044160709224,100.0,0.0,43.36624091639415,28.837736975305717,18.625651960246163,93.53321827545005,93.83019067785476,63.32611160117809,0.0,52.18984566615001,52.885609268047695,76.38659811436635,24.428998071887627,50.32209051160154,32.31479055654263,82.15042487892774,82.4535881368055,12.687210003629692,82.67200584048825,41.33600292024412,35.6481709187606,66.64355922776267,38.70055238247876,21.572018509702147,59.80528082077873,72.1220293615121,38.77396316020236,37.22583299549254,79.04213286037482,96.34553506021302,6.616741607328959,35.825695946629125,0.0,90.41085516474942,54.03516518195748,66.81390598956243,69.01803202520398,41.82046532169698,99.88381976547282,49.76939822671548,4.564681352102669,6.624674286743339,10.43606137771193,87.43702441223391,0.1544671841007659,49.320231398375164,10.269301075711217,18.090591895087126,7.929142808518409,65.6235629053771,84.63032370859318,38.55299865402403,41.212588206578346,35.40757818107612,0.0,55.11467056032549,29.75189462173265,77.81514139071368,68.50052909142904,16.318694026407755,18.165163655533544,53.98988136521681,4.686723510679986,72.73401522496569,40.41742978795732,82.53223371312781,89.9693325193432,64.76873788451984,17.552244762768606,100.0,0.0,100.0,47.66905334584053,22.431305469473678,1.0256817797773787,14.868143446282623,49.81983922933271,55.89973423263383,27.388746615338228,92.06655195872554,89.33858705583391,0.0,70.81907027612571,64.87849306223426,23.291258641080386,80.96534942703492,78.68574740689978,100.0,44.24607024729069,50.61836960410844,31.02008182869532,12.899751033355923,69.68069063698294,2.75185804585537,49.93424643770836,29.753660367222,100.0,27.061299406833,54.57957667139029,86.73526567253914,100.0,88.36180606743481,24.74271554022307,55.00325121930896,76.17009177071878,86.55254462744061,3.3173286408998375,0.0,11.030843031000515,38.58026939222785,32.550124503305064,41.54921854696001,64.4054053721572,35.18718399444172,33.8355796805815,10.255477474469446,17.44513760438025,36.15980888635085,25.850056395879996,23.531545500936808,13.50849725405574,24.852511722726497,48.25989926762767,49.086503467789896,68.45035961461413,23.890218838067344,42.26932123751625,16.55001180028443,39.40667372055408,18.896572041947522,75.3606143391737,52.414422807563476,4.7241430104868805,69.41860208670404,7.922759264880861,17.251953685295387,78.79640575149243,100.0,57.40340604583434,84.14676779916522,54.59580320078737,41.93844233501159,14.002786036960735,56.04208088225404,60.41415811420294,47.80638670431126,24.905710173427785,44.233920296650695,67.82624927627062,42.14321988547551,18.170930518779787,100.0,12.5017503714131,23.606218381801046,33.05985202662724
1982,43.668331471254476,4.354549155512943,28.457627323196487,58.559596879204236,96.21166339345884,88.61462658653853,86.87110056161073,86.83753827479275,0.16710756472913013,46.61651763738832,67.14833775482086,22.078165092818736,100.0,74.69053460028759,69.78351961438506,0.0,78.4250193158671,22.70586698804689,67.69381962361055,29.231356715885088,49.51202622682478,41.275172115415195,74.29644552723637,68.54151055208028,12.604023568078414,82.82011659759782,63.13336757029997,35.712036280809954,57.044296373910896,48.185430026710435,36.57189594844601,79.29585631684895,61.929633722869994,47.614525288643456,63.235150769510774,70.15401573326793,96.51814258312021,6.387555961158453,44.59845301960106,0.0,84.34264222542878,40.59897877682013,54.4346605563901,44.59544739870651,67.88854911434898,98.33157656236529,52.43745358657914,9.145718383595245,8.461591942409655,23.23279570836553,76.01349156665968,0.0,54.23800203500924,10.287699007899343,20.712002325520384,4.766008942767565,70.14484267759813,65.21687914120484,79.81894084445243,31.75878652454871,56.753620016010316,5.315481350999933,55.2134110650652,34.77272928452416,51.969700565647614,71.85584019851643,32.69585945683477,19.049062125952304,67.60825844701863,3.912599995498539,100.0,30.800835085544936,82.47794224272512,70.56377638824087,68.55749716381347,14.89729327969916,86.4184309024796,4.0107532310177705,91.4939663703903,50.38483969321855,20.9631317648297,2.7155868180479517,21.61559597424076,64.1688348813572,29.473621692412994,37.89031572210206,66.82077589124368,9.94429347826087,39.43900795462527,100.0,70.90333735713202,25.925540020039765,53.98950594935593,46.08331124072111,53.17566503673261,22.740826171216717,16.527395630638942,85.61660258514762,19.65129358060138,97.01785087147174,6.891970319962949,51.12140484794355,29.66392061335719,87.53518368997504,46.24609697916048,59.09979194100426,54.763018455433034,71.5565390481542,77.93618412765898,31.060307307417528,60.90198075437241,85.67190952852567,84.99648070127648,4.83384987635423,0.0,14.734140401527828,44.170728852052164,32.60843957060242,23.36766647649781,45.78207918257146,47.00029796919997,84.74049425206621,5.136925320515371,21.509404778628458,37.28031665302399,41.54209029875208,13.63767963149734,14.174058469108497,24.897036157447843,45.33974475592101,43.998186942473836,71.90518303779524,49.57553993749835,60.32719266763591,16.579661918882522,51.624125728350975,9.46521306637114,85.301787572373,54.02590735983338,5.5213742887164985,65.94051766837666,19.275457912023477,23.04381515405736,99.90536606878638,94.10769074817857,69.67102993081407,100.0,72.9248188405797,68.27206264433146,18.153717588100744,48.577183773591024,62.11508744819836,75.61900117486567,18.55280942446257,37.683638443935926,94.2003080277844,30.156229593499774,25.735960970537942,53.87786469508081,3.1310369601780423,14.78031876489527,36.88261214622984
1983,25.363118974749625,4.896487058913202,15.91730523152426,37.69050566851214,67.93280074513045,83.5508096434233,78.83310044360667,67.71248583128971,0.0,30.757250178426155,68.6410620880668,20.447578662120875,91.22264697879902,69.33910431704021,71.33482469908107,0.0,66.80702258252342,30.947498782584386,39.11229182682553,25.24843644963196,44.631191107178104,38.056187400297745,91.13768889967623,65.57384614018795,11.909777797364326,38.48237658725759,34.69722479178963,26.771010767753705,67.81516769352851,43.909463241841785,45.881466141102784,67.24863539787425,52.75528746747922,32.448672058621504,100.0,65.32324007540106,69.76225809439771,6.96074981825807,43.70154923139115,0.0,86.2176002450875,41.50150422348682,65.55573264046505,57.270831038683355,51.11577881192617,86.92641186298921,56.32724586113783,4.674514994701153,9.158500849149773,9.499706625770036,58.80864270116355,0.395459788192929,61.51975118658013,14.340541538786791,7.939663242960318,11.367903196805102,100.0,100.0,50.00881874777326,35.71127151644747,100.0,16.300937490403598,0.0,28.775119415532842,100.0,68.16609272262258,13.926123577287008,18.05832162804407,44.92228450594152,7.199240528564041,82.70305037432027,28.35784216839185,88.85765301894743,80.5384626923848,51.30970439252904,22.717872275694788,87.31297556556478,0.0,70.44441838328117,57.14772432116595,24.821309086805623,1.9506710753356402,22.281797723659217,61.95113944755894,60.25765534021327,45.41066603473804,49.06503014875343,0.0,80.63149391991725,74.59518040309264,39.25974881300779,21.201497004198867,50.80547716807603,79.33937645300145,82.99267183059688,24.428378748005045,28.030015340427717,84.2784039856803,13.974362955894765,74.38093646079933,5.636144434359901,59.952253296657,31.639379709865707,65.95089417844645,47.27415927506576,91.23685788940101,65.68368581246712,66.64528023823387,84.58654751217013,35.035349741190444,62.25584701010711,82.85864121050572,93.31032857497922,3.7059806755611393,0.0,7.530842012860959,56.440818994644474,100.0,27.3706761435323,35.045451282538984,12.011281585410046,95.28672628390025,3.150672272675371,20.613341459556427,48.968465381366215,52.392600367252385,14.737468582047109,14.68583664414048,31.32369660885892,45.9788443558058,21.165307122991678,76.19281127576943,40.19259246208007,44.76880032364938,25.42234792159394,66.96246374034297,19.3512542376797,100.0,47.160063771637475,9.67562711883985,66.60584088698486,8.113393712801725,14.722553078222193,69.34500991520848,54.30629819856085,39.56657463429191,76.4560641505221,79.62863459631969,64.42132399640015,10.543908674964925,55.35541862936285,32.56201095844873,43.80335060155741,55.58778125257007,32.457808502867145,74.19404930901106,24.66128809237193,24.383096512471415,93.80060245869072,3.200640694462807,15.108888945650142,43.08859638139957
1984,14.856751938541471,4.780293627463198,12.324501025485866,43.722438439743854,26.726275711800874,90.44598504160446,73.36881946318931,59.56518094127998,0.0,36.717155793592255,63.11615370806588,20.217818280397765,84.343105431697,63.383605145362,56.97986098644836,0.0,48.916271065144436,22.659836956019976,41.12140177484319,28.26753683173199,37.28333887006968,19.653459742662214,60.457368658945676,53.60393008764984,10.253040449300729,37.569191413432755,23.03422555512106,14.255855896920883,51.4466358476031,35.74338285783792,56.40562333558903,84.41077900549998,49.91868651349934,20.007578803486084,38.83505140101942,60.30719178062945,73.94452859285032,4.81102408394156,28.443008873856602,0.0,76.66366544680113,51.12818547005187,44.998247317753304,54.97681675612739,36.64034674038996,95.85169789209758,50.7011641043552,19.268486681896796,15.72983612899082,32.459976458318664,52.89414824245815,0.23164532645608885,28.17624473117505,7.466795249457799,7.751255368976928,6.341796190438316,72.20003527261694,55.32196905598924,64.23962050985033,19.01664248133308,87.1935839185102,5.304705643692487,0.0,44.61716177749783,73.72872714263272,67.93110107695877,10.876525801588999,17.20498399753866,52.29018070196151,5.466535553401773,42.125483726646124,38.57566750225808,75.85499607430779,63.18727629618584,28.100461639685197,22.66622379754615,82.50531139440973,0.0,65.81384233910134,50.35664314038646,27.230617565293773,3.2960453070583164,29.910445954369745,62.852847070435935,55.886356533738635,29.990019865364896,26.29843398940293,0.0,39.35905598449276,28.99515478192655,50.1213832841337,18.111088077460078,35.500411231097964,49.62067050309693,29.139944108100952,17.309536222010554,11.245834626686875,100.0,12.363743920407353,65.92498588499987,5.502398964577842,44.914417115070364,28.051326113044535,98.35833266872037,63.658407543117924,80.24487486364276,50.27984108543646,58.716103665490806,96.98268073176715,22.293654044132865,63.67273354676134,79.04839565775008,85.94162684351309,7.8390821391804035,0.806538032469114,7.352135449430077,33.06088844382083,97.62700421645161,15.061023740622643,29.963659704225552,23.452508759676277,67.65496457229234,11.278325492468305,15.428543930835751,35.88775887137181,46.30360053252175,8.749306869320286,8.320779048096021,9.556370815337251,34.32594047840807,10.331527638694007,53.9070724603839,27.296573174021642,37.62805970431203,16.546051118223673,43.293673708095696,20.466387273102153,68.97560080510168,49.06996780516105,3.148674965092639,60.80489586166674,13.578622666447302,16.289612516371342,59.08316138515144,42.41408962568624,50.767783668005116,40.001387857902905,44.658603452787226,47.16945652069464,12.352442600024176,34.968247392502796,41.32611055477603,40.24837547174544,25.53820496342516,24.02685098044693,72.43342764726441,26.082416496252158,20.045883503437416,42.00675143000137,0.0,17.70042677763463,41.314925345255936
1985,26.739315809571,3.6410284948492437,12.969837563432227,34.254813438584286,37.78141477206959,85.61489493090504,67.04713229658589,71.10820524715878,0.0,32.089547596904126,26.839653823643694,19.58589921300831,86.56488338874439,66.3228115300947,47.15074320369838,0.0,60.71720329460801,24.61065939782945,51.95330205736622,31.7888326977524,39.72647131918291,22.306212731799736,60.52961433683711,66.12755395500977,12.693761273124526,62.95410191824583,34.057137103313316,22.118808368468233,48.28607910003414,39.106455074594436,30.888239871432543,47.476024850875696,44.99581418989879,38.415648859011284,52.72303065235512,43.23588327397173,58.87426368675849,7.110022001671883,40.61688328674063,0.0,82.01694806408014,29.635900631794815,47.75079976246824,49.9613121558326,28.794535963887665,81.25430490061217,42.96674014936043,10.384996895764873,13.795686222625871,36.693468494647995,69.30988172312492,0.07188230047190873,46.938381082310144,9.557770990105192,43.29552151060761,8.117731051823393,42.958250698735654,54.53067741757872,45.45024605281645,50.159268277264225,51.33931461705884,4.9383397994073,25.64796744817423,43.07406777060821,66.26992047275192,70.87627640810712,27.844701590580428,16.80768342754001,28.26510698370221,7.996989059373203,49.02014523273719,40.08060669845393,83.29321952337702,52.96511890188997,35.25875654358944,12.932746334567957,72.2683059545757,0.0,58.402582305326334,60.09572557660102,35.31948649076334,9.95527346981517,31.388572702108842,71.75994903800904,65.71781530593618,48.554399624660746,20.110338112772975,9.238730609306717,0.0,32.642243427822685,32.93631843103533,12.043041603184687,27.892080650873375,24.78683822009119,50.505510476430324,18.62069735209106,10.120177171602911,87.4961707000269,18.15778132277641,91.05028444101852,5.122379567149357,54.0502193149045,27.708727487288865,89.75807260318498,68.1511659553615,75.07633189926727,67.83666444388705,48.75162812052185,82.2394728169112,21.606860561922154,67.35820457671197,78.88788031736719,87.80820846438627,7.017001275514061,0.7508350383614187,10.266547912151756,25.64796744817423,30.294820787543735,8.593420823695627,45.105579848435355,21.83277738352329,47.23681575604076,4.295207333744257,18.10984707514151,38.49720142582083,48.11796193170116,6.3350326761207025,20.437813756143328,7.1170933137657935,30.167537120849673,38.47195117226135,61.75241127095721,46.058079369312274,32.87365420266578,12.836091238054554,34.258082040996804,32.24335285295866,76.50539887289125,42.01522625592292,10.992052108963179,58.20611576177479,12.640824437560063,25.868992208310814,54.23869818193076,69.09838200553303,82.19398544385238,46.06851901447321,29.255980262804606,56.10943337930795,13.79919558419813,34.772725098005445,34.032879883154266,42.15223026110523,66.56839396046995,45.70740406709639,53.08387073029207,29.88437212593576,11.080223086360563,61.00471112407547,0.0,8.238979492332692,100.0
1986,21.145232693306944,5.647314105365782,27.85361420560577,36.16408907756418,21.132678008749345,81.4954621572253,48.50571355609504,57.891601773866675,0.0,27.872086917114803,41.227061548423166,23.314320575151466,75.61468099897819,56.48071555813693,70.51997370125015,0.0,80.21581078645237,24.53892820603835,54.52829150354482,32.7457220957832,32.93941006531382,27.988923540427468,67.76498790418606,52.91065481182663,14.422823568095748,55.79610082409891,27.040528370695476,22.054340023284073,53.331731135103276,37.11125802442027,26.178480028064584,64.20508765042587,52.955017527586094,54.94063350305891,33.043598997983224,61.12592979317818,65.02449206982558,8.149902618492288,39.35769691866068,0.0,83.0301563507279,22.386002026577835,59.51452926406883,42.35201770698005,36.63941253958708,82.36456187704566,55.90100063044655,14.590753622234784,12.064859517943074,38.73866852564845,75.02157657126062,0.07167278950358454,67.79345448356709,15.594403968710575,19.18636919461528,8.094070794957691,38.17094299138557,87.59891471738078,71.5543815561312,20.59361792739459,43.58040242586198,39.39157056648883,51.146425755424,61.35503200804161,56.16525243194135,61.85737456597374,10.095834302817687,19.02604796093734,37.57696586112783,3.624400328112602,29.79185932038139,24.375075266261366,51.30963530351376,44.83192636614588,21.54721967178677,14.026196961850786,51.74273715786485,0.0,57.48330138749584,58.650773820084076,34.07022307309685,15.569266806337122,34.998892249767984,69.34923176673642,24.57235184531897,16.9445083744353,27.02623633667291,9.211803043225292,36.533955307375024,35.05072637946899,35.57701435961855,19.21270477191332,29.213009769093272,26.96137476065939,26.168726250479946,12.496632035383147,14.614089009917727,55.22335479997129,21.171801090830357,57.539728974852,2.5537248395189653,58.395844572379616,27.048243026276058,68.4738017708569,60.56638534372182,57.35351625972302,48.70004043224376,66.28572915787838,73.08675546880683,19.559579221457366,53.72950377238107,79.33010718483399,87.25279286611536,8.955583038420455,5.240526376057893,23.885457468841697,40.9171406043392,0.0,12.85256115418468,28.996467823428645,0.0,31.39942498849574,4.282688354221647,26.15160907012041,37.95713773936217,59.9721442940614,12.27218992113886,25.665894455965336,7.0963495548427815,38.435056756605526,14.384932243713,54.42417537451305,53.84173956436757,34.3898642492695,42.23563959050377,38.57870918774446,33.61071034632735,53.518077582207916,35.70725780570789,22.65069610295974,47.15462857385578,12.603980995559144,18.67811938065328,54.651886017748716,46.40001041051487,56.34366349881342,40.19246516653985,62.94732079537283,29.18916241417972,12.23020080736358,30.245242153447847,39.83519698258985,58.374127388661634,30.81667230208841,17.615553187922046,51.498632823138536,22.34795247335635,22.677326375424038,83.44203552815279,0.0,27.3832194667114,80.88244885083992
1987,20.261281803071995,4.444943007981916,21.92329404744771,37.83750382804056,21.169672495194263,75.93714015125906,39.54079658293476,47.567247655546716,0.0,21.225566400332156,15.940054804153256,22.286210519011547,75.25993140390214,48.092651231434346,64.7564726418726,0.0,53.06543830239677,84.28075067273396,40.967810813232205,29.438631176915337,38.009286856130956,19.2760703073939,68.94429757568568,45.66436366457849,11.401199597642071,69.86722059468627,18.268560139102394,8.83717918187709,49.79806806306312,35.12039625263859,17.739972791529603,69.22305473104731,55.25804128110544,48.44789752551622,25.578388954007863,64.45572183964626,56.09133350275242,8.835197337476465,39.18171010759963,0.0,77.1214213346035,34.983297272867894,60.5942932914987,34.9494173608261,36.20190974573723,82.18745205239473,47.62296206685805,9.4298683441182,11.085230104283587,29.104862807082583,68.1266966153925,0.0,47.572965904588294,6.942979223166043,12.012472817386408,8.108240129870394,30.356698421930776,81.70038354133101,88.40489349079141,29.470955349922907,38.805949773660195,64.12335920607433,25.6179808847183,87.58397561026673,79.90373158845452,78.93551003810363,10.113507888962856,17.874317025798415,40.77964304098015,7.987639304061411,33.10820127184396,32.27306716963607,46.7097255484599,45.90573638666602,15.90469251915099,7.931875547723225,49.01245627131155,5.582741454849873,50.13581604360012,48.749202795779944,27.759795428619388,14.574915834970561,39.77979769658724,77.18959253990484,82.0512258766126,75.17132927390007,24.453527208140198,0.0,36.5979109931541,37.62009166214473,41.12226327896219,9.623169093852377,34.53169645618961,19.131072441733423,28.85801945022824,9.657135062926992,13.245417679045476,40.31299899118551,16.3526288355027,50.32103388069665,5.755939524769275,56.46082502494101,29.68402708209858,56.25884401529958,53.2733371636806,58.20007307790371,58.94889673307519,64.92617292521967,63.39321570631442,17.132760368920223,80.73534251454247,68.97750965598051,74.32214562870143,5.8873897170298415,4.499743154895997,85.45453900554301,61.48315412332393,0.0,8.809252000987248,29.047228519039503,65.42175415672847,47.181588386621065,7.6269965360182175,57.384758187001694,49.96335783470792,76.09769857301688,18.078931465188653,25.11566673028669,30.212282261731303,37.38633060754386,19.213485663538723,48.497898234984014,66.62681605132308,43.33172430445285,24.36005922135327,39.04880942858525,40.98901575025805,47.362541183380294,46.190879303225984,18.298667745650913,41.27802510744943,8.41736353216158,25.838747231668403,52.64922014353475,30.9874916234003,38.99649659538325,36.428270576429405,69.20946795097677,60.917209244748186,18.760279002533633,27.342268059651264,29.559208713136503,49.12010551333026,52.24258670223521,16.18934922829866,45.85669813734754,46.639738328010324,26.79443962038989,39.05986339084072,5.810968273680076,24.68804043485986,58.67258084363255
1988,19.510590149246003,4.076433733885434,18.095163363665396,32.89171498163984,15.78490962771911,77.47988397339269,38.0630197437284,51.71098211741515,0.0,23.8554702984127,40.931911977151806,22.439631373963508,55.28339835557519,48.7538916781779,47.510254973479775,0.0,73.41618682041474,35.42615582067341,38.57326572121942,40.7284310723216,38.765289480697554,22.981376825690404,71.69133578067104,52.4416620316298,18.73963979708536,21.144703353107758,24.14886885682798,20.058712514455827,51.917642150986886,34.85351160757607,30.34566055497913,66.53333371864403,66.893451940272,52.002406037329685,24.79168048900168,76.0771462472099,51.109187580250115,17.713145510795368,55.666731311871345,0.0,78.84582122906835,26.24224625221615,64.08028105977085,36.48497833477416,43.521129865669785,78.17882794936662,53.75581005967196,17.12320316435248,11.105168000251044,35.88579792765597,62.40282505513862,0.07243038373216552,80.68187857579086,7.879619806562868,36.354698540881145,18.59006039475285,35.335343540988035,86.99856040987429,94.0039414489361,50.54171924376107,39.846668890018755,24.8799665788853,51.68705264093008,89.90517025193043,72.4988003415619,90.95684846606137,15.30382362080815,19.027911550167484,34.80964769695291,7.3254217781227355,22.109655261938236,23.677967428605594,38.69974967767264,34.38251368943844,14.898668914937351,9.14481056592639,31.30265789274935,0.0,36.671288861315674,52.8546412324795,23.526062029256465,14.90935621824369,36.219049235912614,68.96984865979732,16.5547240050724,13.454268821991832,29.073967110523164,9.309173452116985,36.92012576173859,32.258610013428864,30.421828272578487,19.415786504205933,25.861093749091584,18.164240882179485,16.444997847445304,12.98954435179114,17.581622082796706,29.98146080404841,33.293138989805705,60.91688346966758,11.61323175911297,65.03184802844986,29.041485876610317,47.042215918892566,67.17795683059971,49.679788460699775,43.74649652133299,55.07769120334856,65.75278752054065,43.11351138500701,81.44615138310817,63.36876884752169,69.4475565903842,7.353324189207408,14.374639128545763,100.0,25.84352632046504,61.05162134026265,26.204696987770614,33.48910363930735,54.998116137279276,63.4626450745956,6.251493643155849,52.22683356987461,57.63018025350778,100.0,13.13143323643203,34.582916746144996,19.72123791351991,50.55001062344176,21.805475332892378,41.536897048347086,41.60830195280778,36.653946268642194,24.574529682418138,30.864307003487383,38.39632700078416,39.04206944404478,36.36882133602505,28.797245250588126,31.084458544434394,23.351546777669252,15.280207506790171,36.56312748019149,26.997541511223677,34.163535671157014,24.757215528050416,52.751982895329576,58.99539418299897,26.263886970706977,27.955737606272272,22.36459008501782,40.11398361541574,50.30697008168642,14.208738426915396,41.923513761485445,41.404319615412035,32.90650429792859,38.61567857023325,14.655322779343393,44.276264005531814,73.98643135389239
