Year,主权_Mean_Cosine_Similarity,偏见_Mean_Cosine_Similarity,分裂_Mean_Cosine_Similarity,创伤_Mean_Cosine_Similarity,恐怖主义_Mean_Cosine_Similarity,欺凌_Mean_Cosine_Similarity,精神病_Mean_Cosine_Similarity,阴谋_Mean_Cosine_Similarity,主权_Semantic_Breadth,偏见_Semantic_Breadth,分裂_Semantic_Breadth,创伤_Semantic_Breadth,恐怖主义_Semantic_Breadth,欺凌_Semantic_Breadth,精神病_Semantic_Breadth,阴谋_Semantic_Breadth
1979,0.3193017,0.30143037,0.29107395,0.29450187,0.30623442,0.2909903,0.27451903,0.30155498,3.1318343022070123,3.317515701739859,3.4355530832396743,3.3955641675343355,3.265472255326785,3.4365407505560723,3.6427347625152935,3.3161448933271376
1980,0.31065306,0.3059784,0.29383436,0.2986735,0.29118198,0.30704412,0.26959416,0.29895988,3.2190251009541924,3.2682046855092333,3.4032779735573357,3.3481375638357105,3.434278435191188,3.25686095021194,3.709279125243103,3.344930418188675
1981,0.3199371,0.30144826,0.30017948,0.30071822,0.29196453,0.32141712,0.27594927,0.29815373,3.1256142813974224,3.3173189123992515,3.331340286757254,3.325372191806711,3.4250735757658903,3.111221923771872,3.6238544921382463,3.353974494568828
1982,0.3274751,0.31619197,0.2885735,0.30595562,0.30383405,0.3315507,0.2737096,0.3168097,3.053667279412601,3.16263564783807,3.465321617859076,3.268447902707992,3.2912703400369927,3.016130074665202,3.653507284817245,3.1564688717325926
1983,0.30322835,0.3096465,0.29323348,0.30917212,0.3018891,0.31051302,0.26212838,0.31656462,3.2978446935055783,3.2294892440932697,3.41025174293696,3.2344442575472847,3.3124747710128526,3.2204768785905253,3.814924537571134,3.1589127093527054
1984,0.3096996,0.29710752,0.28393817,0.28594288,0.28669113,0.28973198,0.27050933,0.3081111,3.228935446564857,3.365784910716668,3.5218935229229764,3.4972019305340027,3.4880744401262485,3.451465738003858,3.6967301314881578,3.2455825041425284
1985,0.320831,0.30096084,0.28449085,0.2822296,0.28334552,0.30043316,0.2563224,0.30574718,3.116905777469132,3.3226914305688826,3.515051494726181,3.5432144315122174,3.5292599588240776,3.328527396064464,3.901336545765237,3.270676106153976
1986,0.32171112,0.30564237,0.285279,0.28514895,0.2892321,0.29486048,0.2648446,0.30548483,3.108378692993333,3.271797728004917,3.505340315230024,3.5069391120056195,3.457430840681507,3.3914344590532566,3.7757991427648703,3.273484957128377
1987,0.30842176,0.3013832,0.28961802,0.28238347,0.2903502,0.3030374,0.2670043,0.29752496,3.242313374433286,3.3180350096937112,3.4528238825235893,3.541283751073986,3.4441168090115344,3.2999226612096795,3.745257879684945,3.3610625604948914
1988,0.3018188,0.3028891,0.29138216,0.2769316,0.29629976,0.3163883,0.27414662,0.3023832,3.3132463570459345,3.301538323484799,3.431919054637833,3.610999794130248,3.3749605971332213,3.160673044950985,3.647683173758761,3.3070618768601
1989,0.31428447,0.30119026,0.2913081,0.27692172,0.28986445,0.30658284,0.26883608,0.30796382,3.181830741945697,3.320160518205137,3.4327915456652383,3.6111288146052423,3.449888379236492,3.2617611786593708,3.7197387946445497,3.247134697452986
