Year,Target Concept,Sentence With Concepts,Context Words
2004,偏见,1,"['同时', '用', '科学', '的', '实证', '理性', '计算', '来', '取代', '和', '唯', '意识', '论', '取代', '文学', '的', '自恋', '与']"
2004,偏见,2,"['当', '他们', '由于', '不', '了解', '中国', '而', '产生', '某种', '或', '误解', '时', '我们', '应该', '耐心', '地', '做', '解释']"
2004,偏见,3,"['自大', '心态', '媒体', '对', '中国', '的', '报道', '长期', '存有', '未能', '给', '民众', '提供', '一个', '完整', '的', '中国', '视野']"
2004,偏见,4,"['百般', '指责', '中国', '人权', '状况', '是因为', '美国', '出于', '意识形态', '和', '推行', '霸权', '的', '政治', '需要', '不', '愿意', '看到']"
2004,偏见,5,"['这是', '任何', '不带', '政治', '的', '人', '都', '不能', '否认', '的', '客观事实']"
2004,偏见,6,"['同时', '用', '科学', '的', '实证', '理性', '计算', '来', '取代', '和', '唯', '意志', '论', '取代', '文学', '的', '自恋', '与']"
2004,偏见,7,"['七煤', '公司党委', '历经', '深思', '果断', '破除', '实施', '了', '牵手', '活动', '和', '扩源', '活动', '即', '要求']"
2004,偏见,8,"['孔泉', '在', '回答', '提问', '时说', '任何', '不带', '的', '人', '都', '可以', '看到', '香港回归', '前', '香港', '居民']"
2004,偏见,9,"['即使', '有人', '有', '有', '恶意', '那', '是', '他', '的', '错误', '我们', '不必']"
2004,偏见,10,"['孔泉', '在', '回答', '提问', '时说', '任何', '不带', '的', '人', '都', '可以', '看到', '香港回归', '前', '香港', '居民']"
2004,偏见,11,"['我', '想', '持', '这种', '的', '人', '应该', '到', '埃及', '实地', '看看', '这', '也许']"
2004,偏见,12,"['闪着', '政治', '的', '暗光', '但', '客观', '地看', '这种', '带有', '的', '评论', '并', '不是', '舆论', '的', '主流', '也', '不能']"
2004,偏见,13,"['这是', '任何', '不带', '政治', '的', '人', '都', '不能', '否认', '的', '客观事实']"
2004,偏见,14,"['人权', '进行', '反华', '舆论', '战', '是因为', '美国', '出于', '意识形态', '和', '推行', '霸权', '的', '政治', '需要', '不', '愿意', '看到']"
2004,偏见,15,"['这是', '在', '作怪']"
2004,偏见,16,"['什么', '危害', '如何', '才能', '消除', '这种', '基于', '宗教', '的']"
2004,偏见,17,"['中国', '人权', '不断', '改善', '是', '任何', '不带', '政治', '的', '人', '都', '不会', '否认', '的', '客观事实', '国际', '社会']"
2004,偏见,18,"['人权', '进行', '反华', '舆论', '战', '是因为', '美国', '出于', '意识形态', '和', '推行', '霸权', '的', '政治', '需要', '不', '愿意', '看到']"
2004,偏见,19,"['本本主义', '落后', '的', '传统观念', '和', '主观', '往往', '是', '通过', '设置', '各种', '禁区', '和', '框框', '来']"
2004,偏见,20,"['开始', '就', '存在', '这样', '或', '那样', '的', '误解', '和']"
2004,偏见,21,"['孔泉', '在', '回答', '提问', '时说', '任何', '不带', '的', '人', '都', '可以', '看到', '香港回归', '前', '香港', '居民']"
2004,偏见,22,"['香港', '文汇报', '的', '社评', '指出', '任何', '不怀', '的', '人', '都', '不会', '否认', '修改', '行政长官', '和', '立法会']"
2004,偏见,23,"['不过', '是', '过于', '自我中心', '的', '中原', '人', '的', '一种']"
2004,偏见,24,"['观点', '本身', '可能', '就是', '错误', '的', '或者', '是', '有', '的']"
