Year,Control Words,Sentence With Control Words,Context Words
1979,衣服,1,"['见势不妙', '想要', '逃跑', '小王', '手疾眼快', '一把', '抓住', '他', '的', '严厉', '喝道', '站住']"
1979,衣服,2,"['不少', '人', '捐献', '了', '许多', '毯子']"
1979,衣服,3,"['人气', '得', '冲进', '小楼', '把', '楼', '里边', '的', '棉被', '等', '物品', '从', '窗户', '扔', '了', '出来']"
1979,衣服,4,"['尽量', '黑', '脸部', '和', '手部', '要', '增加', '红色', '即使', '因此', '泛红', '也', '没有', '关系']"
1979,衣服,5,"['孩子', '接', '了', '过来', '抱回', '营房', '给', '她们', '换上', '又', '用', '大衣', '把', '她们', '裹好', '送', '回家', '去']"
1979,衣服,6,"['有时', '送到', '外宾', '手里', '还是', '湿', '的', '只得', '自己', '晾干']"
1979,衣服,7,"['从此', '小', '雷锋', '活跃', '在', '全班', '孩子', '的', '叠', '得', '更', '整齐', '了', '每天', '午睡', '起床', '后']"
1979,衣服,8,"['助手', '披上', '来', '开门', '吃惊', '地说', '好', '早', '啊', '李老师']"
1979,衣服,9,"['开', '在', '胳膊', '为了', '追歼', '敌人', '谁', '还', '顾得上', '挂花']"
1979,衣服,10,"['穿', '的', '都', '是', '平时', '在家', '穿', '的', '普通']"
1979,衣服,11,"['在', '进入', '麦加', '之前', '必须', '换', '去', '平常', '的', '披上', '两块', '白布', '赤足', '穿', '草鞋', '不', '理发', '不修容']"
1979,衣服,12,"['盛泽', '的', '名牌产品', '平挺', '滑润', '轻薄', '柔软', '是', '妇女', '的', '佳料']"
1979,衣服,13,"['他们', '穿', '的', '是', '苏联', '的', '带', '的', '武器', '是', '苏联', '的']"
1979,衣服,14,"['白天', '到', '晚上', '从', '黄昏', '到', '黎明', '大家', '的', '湿透', '了', '可是', '为', '伤员', '储存', '了', '一点', '水']"
1979,衣服,15,"['过', '春节', '时', '一家', '大小', '都', '添', '了', '新', '还', '买', '了', '三十', '来斤', '肉']"
1979,衣服,16,"['他们', '常年累月', '在', '野外工作', '参加', '劳动', '翻山越岭', '鞋袜', '破得', '快', '粮食', '吃', '得', '多', '但', '基本工资']"
1979,衣服,17,"['阿妮', '每个', '星期天', '都', '带', '着', '洗', '干净', '的', '去', '看望', '她', '返厂', '时', '又', '把', '她', '的', '看望', '她', '返厂', '时', '又', '把', '她', '的', '脏', '带', '回来', '洗']"
1979,衣服,18,"['大批', '公安人员', '强迫', '这些', '被俘', '人员', '扔下', '行李', '脱掉']"
1979,衣服,19,"['同志', '就', '把', '自己', '的', '床头柜', '拿给', '她', '装']"
1979,衣服,20,"['在', '战士', '们', '的', '身边', '燃烧', '不少', '人', '的', '被', '烧着', '了', '浓烟', '呛得', '人', '透不过气', '来']"
1979,衣服,21,"['吃饭', '冒', '着', '烈日', '曝晒', '晚上', '不怕', '露水', '打湿', '和', '蚊虫', '叮咬', '趴在', '豆', '地里', '观察']"
