Year,Control Word,Mean Cosine Similarity,Semantic Breadth
1979,衣服,0.7521099,1.3295929486595273
1979,米饭,0.794727,1.2582936851300281
1979,图书馆,0.6903612,1.4485170914096022
1979,运输,0.74767727,1.33747546525044
1980,衣服,0.7678222,1.3023848387806196
1980,米饭,0.78472894,1.2743253670730625
1980,图书馆,0.6752055,1.481030526915046
1980,运输,0.7394306,1.3523919504977877
1981,衣服,0.7580487,1.3191764362597203
1981,米饭,0.77707505,1.2868769845202435
1981,图书馆,0.73885125,1.353452404741032
1981,运输,0.70676994,1.4148875593373111
1982,衣服,0.7663882,1.3048217977175052
1982,米饭,0.78684115,1.2709045463511714
1982,图书馆,0.70965344,1.409138528284331
1982,运输,0.7116994,1.4050875457011884
1983,衣服,0.7642726,1.308433716523144
1983,米饭,0.7582237,1.318871968243085
1983,图书馆,0.70329094,1.421886653269221
1983,运输,0.6954437,1.4379309419779152
1984,衣服,0.74937004,1.3344542063480131
1984,米饭,0.7759261,1.2887825052927204
1984,图书馆,0.717987,1.3927828758566352
1984,运输,0.7125196,1.4034701915954324
1985,衣服,0.76697546,1.3038226761818514
1985,米饭,0.7979544,1.2532044743686495
1985,图书馆,0.7148642,1.3988670964964072
1985,运输,0.7106971,1.4070691714417531
1986,衣服,0.7572361,1.3205920445606114
1986,米饭,0.7899726,1.2658666842317838
1986,图书馆,0.7225841,1.3839219001975591
1986,运输,0.7240955,1.3810332583791305
1987,衣服,0.7725619,1.2943946497294514
1987,米饭,0.7987123,1.2520152544344776
1987,图书馆,0.69714314,1.4344256527441877
1987,运输,0.72652024,1.3764241441885203
1988,衣服,0.75343204,1.3272597300801265
1988,米饭,0.7964032,1.2556453355400834
1988,图书馆,0.7047212,1.419000850865159
1988,运输,0.72476935,1.3797492880529412
1989,衣服,0.78289014,1.2773184226199925
1989,米饭,0.82789844,1.2078776192453313
1989,图书馆,0.68796223,1.453568161956096
1989,运输,0.7195601,1.3897380058257742
1990,衣服,0.76950616,1.2995347621654276
1990,米饭,0.8194886,1.2202732512811905
1990,图书馆,0.67895204,1.4728580865908607
1990,运输,0.7264495,1.3765581975418042
1991,衣服,0.77798253,1.2853759019139879
1991,米饭,0.8063454,1.2401633295587575
1991,图书馆,0.67187726,1.4883670755476068
1991,运输,0.7006197,1.427307858267781
1992,衣服,0.78919894,1.2671076399255288
1992,米饭,0.7265218,1.3764212081814993
1992,图书馆,0.7097383,1.4089700105807859
1992,运输,0.72410667,1.3810120003351856
1993,衣服,0.77267414,1.2942066311557046
1993,米饭,0.7986013,1.252189250477691
1993,图书馆,0.7181631,1.3924414071237272
1993,运输,0.73795235,1.3551010412424542
1994,衣服,0.77529436,1.28983267140919
1994,米饭,0.8080009,1.237622349827818
1994,图书馆,0.7040055,1.420443488971364
1994,运输,0.70187396,1.424757235176011
1995,衣服,0.79474837,1.258259900784968
1995,米饭,0.80136204,1.2478754333330557
1995,图书馆,0.7199715,1.388943910386827
1995,运输,0.68567336,1.458420385111212
1996,衣服,0.7694941,1.2995550957558457
1996,米饭,0.7271654,1.3752029437177347
1996,图书馆,0.7194294,1.3899905070595564
1996,运输,0.70641667,1.415595140108533
1997,衣服,0.7666814,1.3043228061369943
1997,米饭,0.7168267,1.395037366264561
1997,图书馆,0.70296645,1.4225429928555804
1997,运输,0.73326397,1.3637653583184959
1998,衣服,0.7442742,1.3435908450562668
1998,米饭,0.7756125,1.289303658956253
1998,图书馆,0.70294935,1.4225776109669597
1998,运输,0.7235347,1.3821037132036202
1999,衣服,0.77633095,1.2881104414759927
1999,米饭,0.780753,1.2808147761233
1999,图书馆,0.71424127,1.4000871235702639
1999,运输,0.7149661,1.3986676771869544
2000,衣服,0.7590603,1.3174183518560267
2000,米饭,0.8074042,1.238536999312343
2000,图书馆,0.7092093,1.410020945395232
2000,运输,0.69349396,1.441973621083743
2001,衣服,0.767185,1.3034666156174066
2001,米饭,0.8121586,1.2312866218104532
2001,图书馆,0.71393996,1.4006779972324088
2001,运输,0.70680636,1.4148146567750381
2002,衣服,0.7769638,1.2870612995231636
2002,米饭,0.7950843,1.2577282722685394
2002,图书馆,0.7242772,1.3806868452119125
2002,运输,0.70147365,1.4255702908756434
2003,衣服,0.76771647,1.3025642180270487
2003,米饭,0.7792492,1.283286541949475
2003,图书馆,0.68451434,1.460889766806612
2003,运输,0.7193202,1.390201513234379
2004,衣服,0.701464,1.4255899144614579
2004,米饭,0.71918696,1.3904590229285623
2004,图书馆,0.63837165,1.5664856132515674
2004,运输,0.65438193,1.5281595546725129
2005,衣服,0.75211394,1.3295857835293887
2005,米饭,0.76048446,1.314951266622629
2005,图书馆,0.70527667,1.4178832864754167
2005,运输,0.73460215,1.3612810628257566
2006,衣服,0.7654226,1.3064678554018718
