Year,Control Words,Sentence With Control Words,Context Words
1979,衣服,1,"['劝', '他', '吃', '得', '好', '一些', '穿', '几件', '好', '他', '说', '群众', '还', '没有', '普遍', '富裕', '起来', '我']"
1979,衣服,2,"['交通', '烹调', '特色', '各种', '餐厅', '到', '泰国', '穿', '什么', '带', '什么', '生活用品', '都', '一一列举', '应有尽有']"
1979,衣服,3,"['尽量', '黑', '脸部', '和', '手部', '要', '增加', '红色', '即使', '因此', '泛红', '也', '没有', '关系']"
1979,衣服,4,"['在', '战士', '们', '的', '身边', '燃烧', '不少', '人', '的', '被', '烧着', '了', '浓烟', '呛得', '人', '透不过气', '来']"
1979,衣服,5,"['接着', '越南', '公安人员', '把', '被俘', '人员', '脱下', '的', '帽子', '鞋袜', '扔', '到', '中国', '一侧', '疯狂', '地', '把']"
1979,衣服,6,"['赶到', '我国', '境内', '时', '已经', '被', '越南', '军警', '洗劫一空', '褴褛', '不少', '人', '被', '打', '得', '鼻青脸肿', '头破血流']"
1979,衣服,7,"['家里', '要来', '的', '唯一', '的', '东西', '却是', '一些', '缝补', '的', '碎布']"
1979,衣服,8,"['有', '一次', '一位', '送菜', '进城', '的', '农民', '划破', '了', '又', '掉', '了', '扣子', '来到', '门市部', '买']"
1979,衣服,9,"['这时', '王娟', '赶忙', '帮', '他', '缝好', '缀', '上', '扣子']"
1979,衣服,10,"['这时', '大家', '淋湿', '了', '大口', '大口', '地', '吸气']"
1979,衣服,11,"['到', '抓饭', '包子', '每人', '还', '做', '了', '一套', '新', '不再', '为', '生活', '打饥荒', '了']"
1979,衣服,12,"['过', '春节', '时', '一家', '大小', '都', '添', '了', '新', '还', '买', '了', '三十', '来斤', '肉']"
1979,衣服,13,"['随信', '寄', '去', '人民币', '六十元', '还', '寄', '去', '一些', '帮助', '表哥', '解决', '一些', '急需']"
1979,衣服,14,"['渔船', '而且', '将', '船上', '的', '渔民', '赶到', '岸上', '抢走了', '和', '财物', '然后', '让', '他们', '换乘', '小', '木船', '返回']"
1979,衣服,15,"['稠密', '的', '时候', '他们', '匍匐前进', '荆棘', '石块', '划破', '了', '和', '皮肉', '他们', '全然不顾', '继续前进']"
1979,衣服,16,"['据', '印尼政府', '发言人', '说', '大米', '以及', '药品', '等', '救济', '物品', '已', '陆续', '运往', '灾区']"
1979,衣服,17,"['大字报', '要', '开除', '她', '的', '党籍', '连', '她', '的', '和', '被子', '也', '被', '甩', '到', '楼下', '不准', '她']"
1979,衣服,18,"['地方', '财政开支', '中', '拨款', '进行', '救济', '为', '他们', '提供', '棉毯', '铁锅', '锄头', '等', '生活用品', '和', '生产工具']"
