Year,图书馆_Mean_Cosine_Similarity,米饭_Mean_Cosine_Similarity,衣服_Mean_Cosine_Similarity,运输_Mean_Cosine_Similarity,图书馆_Semantic_Breadth,米饭_Semantic_Breadth,衣服_Semantic_Breadth,运输_Semantic_Breadth
1979,0.7023413,0.794727,0.75637364,0.69144696,1.4238091568666655,1.258293685130028,1.3220978918259358,1.4462425289134873
1980,0.6906218,0.78472894,0.7380096,0.7080582,1.4479705241634144,1.2743253670730623,1.3549959755271994,1.4123133246262705
1981,0.7393643,0.77707505,0.7647171,0.69371086,1.352513185765621,1.2868769845202437,1.30767312162661,1.441522761838537
1982,0.69836533,0.78684115,0.7564535,0.7293929,1.4319152971171052,1.2709045463511714,1.3219582979807083,1.3710032260695313
1983,0.6934133,0.7582237,0.74391747,0.70928305,1.4421413249357784,1.318871968243085,1.3442351426952492,1.4098743717853963
1984,0.7060747,0.7759261,0.7632202,0.7296208,1.4162807125597503,1.2887825052927204,1.3102378734075195,1.3705749347725178
1985,0.72593164,0.7979544,0.77108437,0.7123739,1.3775401687742097,1.2532044743686497,1.2968749480642163,1.4037571880236464
1986,0.710324,0.7899726,0.7679086,0.7303759,1.4078082888019805,1.2658666842317838,1.3022383587894095,1.3691580174239988
1987,0.7206182,0.7987123,0.7695296,0.71960586,1.3876974188597868,1.2520152544344776,1.2994952040824863,1.389649600268633
1988,0.7345293,0.7964032,0.7751734,0.7222932,1.361416049214512,1.2556453355400834,1.2900339032261736,1.3844793258727937
1989,0.7194119,0.82789844,0.7693587,0.7183992,1.3900242499230928,1.207877619245331,1.299783842152477,1.3919836810537425
1990,0.7124264,0.8194886,0.7543053,0.7315181,1.4036537195633527,1.2202732512811905,1.3257231467080222,1.367020192641685
1991,0.7056637,0.8063454,0.7785686,0.72321826,1.4171056650386111,1.2401633295587575,1.2844082940303994,1.382708446775311
1992,0.71235573,0.7265218,0.7772739,0.73792946,1.4037930121008964,1.3764212081814993,1.2865477774918308,1.355143072090874
1993,0.7088485,0.7986013,0.78540915,0.73551905,1.4107387308845976,1.252189250477691,1.273221730109762,1.3595840894809887
1994,0.7329191,0.8080009,0.79146487,0.73159105,1.3644070732580469,1.237622349827818,1.263479964758272,1.3668838699758783
1995,0.73797256,0.80136204,0.79995495,0.71058214,1.3550639380508638,1.2478754333330555,1.2500703933241424,1.407296845471116
1996,0.7340969,0.7271654,0.75290537,0.7069515,1.3622180134591286,1.3752029437177349,1.3281881647188618,1.4145241949912135
1997,0.7157483,0.7168267,0.74331087,0.7220649,1.397139170158151,1.395037366264561,1.345332137676136,1.3849170385362215
1998,0.70905614,0.7756125,0.74694705,0.7281467,1.4103255652241748,1.289303658956253,1.3387829831757754,1.3733496809256245
1999,0.67871153,0.780753,0.7586896,0.70569307,1.4733800010362794,1.2808147761233,1.318062120881325,1.4170466566972688
2000,0.69519544,0.8074042,0.76982594,0.69858235,1.4384444251629278,1.238536999312343,1.2989949468608968,1.4314704605279045
2001,0.71373945,0.8121586,0.7769625,0.7128519,1.4010714881322164,1.2312866218104532,1.287063372997011,1.4028159639856284
2002,0.70795286,0.7950843,0.7778782,0.72001326,1.4125234330048857,1.2577282722685394,1.2855482619959142,1.3888633090332982
2003,0.7078227,0.7792492,0.7724677,0.6970713,1.4127832119356372,1.283286541949475,1.2945525556339086,1.4345734505489394
2004,0.6661506,0.71918696,0.6889362,0.6779001,1.5011619830186649,1.3904590229285625,1.451513272000326,1.4751436613338145
2005,0.70873827,0.76048446,0.7477936,0.7162243,1.4109581011306778,1.314951266622629,1.3372673691275114,1.3962106314365963
2006,0.70308787,0.76781297,0.75908065,0.7069606,1.4222973371074268,1.3024005097438518,1.3173830765920758,1.4145059481919944
2007,0.6876085,0.7528628,0.7211627,0.72100574,1.4543159783900288,1.3282632443407625,1.3866496868941185,1.386951514528744
2008,0.69837177,0.730594,0.7472722,0.7055135,1.4319020983151107,1.3687493029682722,1.3382004693731355,1.4174073666047342
2009,0.67919755,0.73104984,0.7531826,0.6913572,1.4723256882553504,1.3678958002462458,1.3276993032853666,1.4464303064846091
2010,0.68479216,0.7104873,0.7618767,0.72037673,1.4602970900797692,1.4074846818359632,1.312548338818839,1.3881625521805712
2011,0.70950305,0.74915695,0.72879094,0.70198125,1.4094372018415446,1.3348337720928574,1.3721356107585103,1.424539480259085
2012,0.69369966,0.7456697,0.7440814,0.68709844,1.4415460474677293,1.3410763099925485,1.34393902278619,1.455395525121927
2013,0.7115459,0.74319184,0.75367177,0.69261944,1.405390743773601,1.3455476076476358,1.326837551842641,1.443794294534375
2014,0.6885804,0.7534344,0.7556064,0.71587867,1.4522632491671472,1.32725553006788,1.323440329441447,1.3968847631117267
