Year,Control Words,Sentence With Control Words,Context Words
1979,衣服,1,"['人们', '看', '了', '老', '教授', '缝补', '的', '袜子', '无不', '称赞', '他', '的', '手艺', '比巧', '媳妇', '还要']"
1979,衣服,2,"['我们', '发', '一寸', '布票', '我', '身上', '穿', '的', '这套', '还是', '去年', '我', '兄弟', '死后', '从', '他', '身上', '脱下来']"
1979,衣服,3,"['交通', '烹调', '特色', '各种', '餐厅', '到', '泰国', '穿', '什么', '带', '什么', '生活用品', '都', '一一列举', '应有尽有']"
1979,衣服,4,"['渔船', '而且', '将', '船上', '的', '渔民', '赶到', '岸上', '抢走了', '和', '财物', '然后', '让', '他们', '换乘', '小', '木船', '返回']"
1979,衣服,5,"['手表', '缝纫机', '并', '不是', '非要不可', '至于', '咱冬有', '棉夏有', '单', '何必', '要', '做', '那么', '多', '咱冬有', '棉夏有', '单', '何必', '要', '做', '那么', '多', '放着', '呢']"
1979,衣服,6,"['同志', '就', '把', '自己', '的', '床头柜', '拿给', '她', '装']"
1979,衣服,7,"['秦宝忠', '以苦为荣', '以苦为乐', '常常', '带', '着', '两套', '下井', '一套', '湿透', '了', '就', '再', '换上', '一套', '以苦为荣', '以苦为乐', '常常', '带', '着', '两套', '下井', '一套', '湿透', '了', '就', '再', '换上', '一套']"
1979,衣服,8,"['上海牌', '手表', '一部', '缝纫机', '二十套', '上', '等', '衣料', '的', '再盖', '三间', '新房']"
1979,衣服,9,"['了', '募捐', '活动', '迄今已', '收集', '到', '近', '百吨', '粮食', '药物', '和', '建筑', '器材', '等']"
1979,衣服,10,"['是', '那些', '人们', '并', '不', '急需', '的', '东西', '而', '就', '没有']"
1979,衣服,11,"['为', '导演', '设计', '了', '具体', '情景', '孩子', '多', '的', '都', '是', '接力', '穿', '的', '老大', '穿', '新', '老二']"
1979,衣服,12,"['抄', '把', '战士', '们', '浸满', '汗水', '沾满', '硝烟', '的', '拿', '去', '接连', '洗', '了', '几百件']"
1979,衣服,13,"['有', '的', '人', '甚至', '连', '身上', '穿', '的', '也', '被', '越南', '武装', '公安人员', '强行', '扒', '下', '拿走']"
1979,衣服,14,"['又', '和', '许多', '女职工', '一起', '给', '战士', '们', '洗补']"
1979,衣服,15,"['在', '战士', '们', '的', '身边', '燃烧', '不少', '人', '的', '被', '烧着', '了', '浓烟', '呛得', '人', '透不过气', '来']"
1979,衣服,16,"['她', '简直', '难以相信', '这位', '打着', '补丁', '搬', '石头', '拣', '最大', '个', '的', '推车']"
1979,衣服,17,"['有人', '为了', '超', '定额', '晚上', '睡觉', '连', '都', '不脱', '打个', '盹', '凌晨', '三点', '半', '就', '偷偷地']"
1979,衣服,18,"['一个', '经验', '要', '夏天', '忙', '着', '做', '冬天', '的', '冬季', '为', '夏季', '的', '服装', '奔走']"
1979,衣服,19,"['有些', '袜子', '实在', '不能', '再补', '了', '我', '也', '不敢', '扔掉', '了', '就要', '查问', '我', '那', '一件', '什么', '什么样', '的', '怎么', '不见', '了']"
