Year,图书馆_Mean_Cosine_Similarity,米饭_Mean_Cosine_Similarity,衣服_Mean_Cosine_Similarity,运输_Mean_Cosine_Similarity,图书馆_Semantic_Breadth,米饭_Semantic_Breadth,衣服_Semantic_Breadth,运输_Semantic_Breadth
1979,0.6574443,0.7296051,0.7072929,0.67415816,1.521041406299226,1.3706044944007478,1.4138413939317431,1.4833314574947505
1980,0.6525092,0.7198024,0.71896297,0.6988126,1.5325454121605278,1.3892702057256043,1.3908922230336649,1.43099880332272
1981,0.6578107,0.6969345,0.71591026,0.68439233,1.5201942112126674,1.4348550252334358,1.396823123773154,1.4611502083486103
1982,0.6651967,0.7340507,0.7159072,0.6778079,1.5033146958880208,1.3623037374484657,1.39682905486919,1.4753442088406954
1983,0.6526177,0.6849777,0.7186153,0.65738213,1.5322906669657474,1.4599015194806064,1.391565151815257,1.5211852489091982
1984,0.6426156,0.71154654,0.70727503,0.6893545,1.5561402097947177,1.405389448783148,1.4138771388018951,1.4506324830103872
1985,0.6622227,0.72703856,0.6908805,0.6672965,1.5100660624019993,1.375442860746586,1.447428365210368,1.498584147851015
1986,0.61706424,0.7143195,0.7076636,0.6919487,1.620576820167262,1.3999337299246606,1.4131008096356112,1.4451938168863
1987,0.6372713,0.73121715,0.72534084,0.6759661,1.5691904271356736,1.367582811179978,1.3786621963645926,1.4793641628843888
1988,0.6552298,0.732521,0.69117874,0.66534865,1.526182095913993,1.3651485805591252,1.4468037621415215,1.5029714142584525
1989,0.67036444,0.7612941,0.73990005,0.66633505,1.4917259047400744,1.3135527586210136,1.3515338950943827,1.500746517184923
1990,0.6669401,0.7676478,0.7259452,0.6922801,1.499385042877195,1.3026807297744474,1.377514494013181,1.444501987294711
1991,0.6574474,0.74532664,0.73180217,0.6676958,1.5210342355675184,1.341693626281598,1.3664895338283864,1.4976879733999329
1992,0.6680245,0.6587366,0.7240058,0.678162,1.496951128926814,1.5180574760631016,1.3812043696768912,1.4745739681323151
1993,0.66990393,0.71384144,0.7461501,0.67459804,1.4927513472359009,1.400871322895806,1.3402129566736625,1.4823642278494455
1994,0.6663577,0.75098616,0.7324891,0.70713466,1.5006955062096436,1.3315824642284186,1.3652080115041525,1.4141577988277063
1995,0.6487137,0.7402836,0.75298727,0.645067,1.541512053445502,1.350833638086239,1.328043707645751,1.5502266219742926
1996,0.6957339,0.66630733,0.7060901,0.6826343,1.4373311305448595,1.500808943228341,1.416249867257302,1.4649132174299817
1997,0.6681026,0.66378456,0.7197607,0.67859423,1.4967760446116845,1.5065128882552143,1.3893506242059903,1.473634689811665
1998,0.6642346,0.7148383,0.737682,0.6912444,1.5054922345256962,1.398917718398495,1.3555976972023027,1.4466662820896534
