Year,图书馆_Mean_Cosine_Similarity,米饭_Mean_Cosine_Similarity,衣服_Mean_Cosine_Similarity,运输_Mean_Cosine_Similarity,图书馆_Semantic_Breadth,米饭_Semantic_Breadth,衣服_Semantic_Breadth,运输_Semantic_Breadth
1979,0.6825298,0.7296051,0.70995474,0.685841,1.4651374776765247,1.3706044944007478,1.4085404964661428,1.458063844419108
1980,0.664042,0.7198024,0.72759324,0.69875735,1.5059288509166686,1.3892702057256043,1.3743942916635707,1.431111958054467
1981,0.6464124,0.6969345,0.71628004,0.70455635,1.5470000922083909,1.4348550252334358,1.3961019989290335,1.4193328975929431
1982,0.6547866,0.7340507,0.70303226,0.6961306,1.5272151571490262,1.3623037374484657,1.42240984342078,1.4365121109589214
1983,0.6798548,0.6849777,0.70709616,0.67254364,1.4709022940502474,1.4599015194806064,1.4142348061489805,1.4868923490327834
1984,0.6732163,0.71154654,0.7241229,0.69349325,1.4854067329839362,1.405389448783148,1.3809810807122305,1.441975108307894
1985,0.62238985,0.72703856,0.71594226,0.6936368,1.606709998851749,1.375442860746586,1.3967606758779365,1.4416767334399216
1986,0.65738463,0.7143195,0.7234275,0.69022137,1.5211794560636225,1.3999337299246606,1.382308573078295,1.448810547640227
1987,0.641022,0.73121715,0.7035368,0.6607546,1.560008796264656,1.367582811179978,1.4213897381506275,1.5134211221146523
1988,0.666331,0.732521,0.7333608,0.7234321,1.5007556458305211,1.3651485805591252,1.363585241023613,1.3822996896230482
1989,0.6463062,0.7612941,0.7418156,0.6942325,1.5472541871560466,1.3135527586210136,1.3480438590309942,1.4404395735350948
1990,0.6670656,0.7676478,0.7103516,0.68964505,1.4991028909072452,1.3026807297744474,1.4077535958633705,1.4500212785743942
1991,0.62967443,0.74532664,0.7266265,0.6577688,1.5881222818534777,1.341693626281598,1.3762228308794275,1.5202910526536608
1992,0.6691765,0.6587366,0.7390362,0.6810497,1.494374013030645,1.5180574760631016,1.3531136860561803,1.4683216119420437
1993,0.6539801,0.71384144,0.7245348,0.70183533,1.5290985707664944,1.400871322895806,1.3801959364336516,1.4248356432438207
1994,0.67458737,0.75098616,0.73708975,0.6925337,1.4823876728288738,1.3315824642284186,1.3566868834157049,1.4439731101017688
1995,0.62809634,0.7402836,0.75824296,0.6867381,1.5921124403902631,1.350833638086239,1.3188384811943143,1.4561592521424849
1996,0.6885232,0.66630733,0.7344677,0.6937836,1.4523839410667114,1.500808943228341,1.361530289378066,1.4413716712470888
1997,0.6835412,0.66378456,0.72813743,0.6490655,1.4629696515095416,1.5065128882552143,1.3733671061979669,1.5406765702632037
1998,0.6751067,0.7148383,0.7090019,0.6814115,1.4812473253884215,1.398917718398495,1.4104334582757676,1.4675419963352596
1999,0.68305194,0.71229744,0.72146213,0.6713587,1.4640175013154784,1.403907896392814,1.3860741370339338,1.4895166968081943
2000,0.6785348,0.7410752,0.71805966,0.67647153,1.4737637502003922,1.349390690828146,1.392641944802716,1.4782588085318675
