Year,图书馆_Mean_Cosine_Similarity,米饭_Mean_Cosine_Similarity,衣服_Mean_Cosine_Similarity,运输_Mean_Cosine_Similarity,图书馆_Semantic_Breadth,米饭_Semantic_Breadth,衣服_Semantic_Breadth,运输_Semantic_Breadth
1979,0.67236274,0.7296051,0.7282416,0.6687577,1.4872923994104803,1.3706044944007478,1.373170619716191,1.495309937029697
1980,0.6480025,0.7198024,0.7207999,0.6815379,1.5432039101967516,1.3892702057256043,1.3873475401008315,1.4672697755500572
1981,0.6997106,0.6969345,0.7144611,0.68536586,1.429162269715916,1.4348550252334358,1.399656351539894,1.4590747287631785
1982,0.64622,0.7340507,0.7209731,0.69592494,1.5474605491186728,1.3623037374484657,1.3870143497134282,1.4369365800698768
1983,0.6341588,0.6849777,0.7242041,0.67696786,1.576892121646868,1.4599015194806064,1.3808261624218146,1.4771750036715388
1984,0.64520556,0.71154654,0.70327926,0.6601697,1.5498936557720997,1.405389448783148,1.421910272913081,1.5147619903194438
1985,0.65093726,0.72703856,0.7125243,0.66448814,1.5362463676349465,1.375442860746586,1.40346091666392,1.5049177625102248
1986,0.63472235,0.7143195,0.69737095,0.6620763,1.5754920191562038,1.3999337299246606,1.4339570714147925,1.5103999469921894
1987,0.6743105,0.73121715,0.7222061,0.68040377,1.4829963229200818,1.367582811179978,1.3846462640369317,1.46971555058522
1988,0.67373806,0.732521,0.7089461,0.700606,1.4842563539677138,1.3651485805591252,1.4105444512096794,1.4273357870340673
1989,0.65155196,0.7612941,0.744277,0.69643915,1.5347970054233615,1.3135527586210136,1.343585787853122,1.4358756315092631
1990,0.6601374,0.7676478,0.699358,0.70136297,1.5148361195413058,1.3026807297744474,1.429882863103923,1.4257952677158114
1991,0.6293222,0.74532664,0.7080596,0.6985814,1.5890112342225633,1.341693626281598,1.4123104712924677,1.4314724147119375
1992,0.67536056,0.6587366,0.7374975,0.6594657,1.480690550514665,1.5180574760631016,1.355936784110439,1.5163791605891468
1993,0.67255,0.71384144,0.7482603,0.6956257,1.4868782490423864,1.400871322895806,1.33643328972078,1.437554661633191
1994,0.669066,0.75098616,0.7267644,0.69548887,1.4946208329305888,1.3315824642284186,1.3759617645512623,1.4378375311643865
1995,0.67717963,0.7402836,0.7492779,0.6562211,1.4767130447350183,1.350833638086239,1.3346183221318426,1.5238766515982514
1996,0.6824233,0.66630733,0.73990786,0.6552676,1.465366158207373,1.500808943228341,1.3515196324287713,1.5260940808469243
1997,0.6383602,0.66378456,0.720375,0.682737,1.5665136961506765,1.5065128882552143,1.3881658830667538,1.4646928619557191
1998,0.6902487,0.7148383,0.72465986,0.6520998,1.4487531229350978,1.398917718398495,1.3799577636533,1.5335076289125673
1999,0.65045303,0.71229744,0.71481025,0.69064033,1.5373900224058172,1.403907896392814,1.3989726601384895,1.4479316600935082
2000,0.66856563,0.7410752,0.70784247,0.67868185,1.4957394663478554,1.349390690828146,1.4127437155733935,1.4734444413998746
2001,0.65475565,0.7294853,0.72948354,0.68572354,1.5272873124814008,1.3708295924773906,1.3708328407021562,1.4583136454399015
2002,0.6730849,0.71012604,0.7540506,0.69439894,1.4856966456736604,1.408200714155135,1.3261709273749551,1.440094365009136
2003,0.6991594,0.7165327,0.7288267,0.68194526,1.4302890345293944,1.395609704807018,1.3720682814561025,1.4663933489861982
2004,0.6207919,0.6643166,0.6425299,0.6291764,1.610845728726203,1.5053063676681189,1.5563477940304065,1.5893794404380217
2005,0.6326179,0.687043,0.7205364,0.6494455,1.5807330372531685,1.4555129500118378,1.387854916142033,1.5397751463465068
2006,0.6630943,0.7133234,0.7383303,0.6770092,1.5080811687249367,1.4018886523517158,1.35440736177162,1.4770847474936897
2007,0.66488,0.6896737,0.6923633,0.6454047,1.5040308529888609,1.449961000984806,1.444328387337767,1.5494154372874858
2008,0.6536044,0.6730802,0.679656,0.686965,1.5299774879072507,1.4857070393818432,1.471332494236471,1.455678260809207
2009,0.67465234,0.6744488,0.6868275,0.64881563,1.4822449188022604,1.4826922629947772,1.4559696983082522,1.541269893765181
2010,0.6492303,0.6482184,0.7142653,0.6525102,1.540285470154679,1.542689948783022,1.4000400387770298,1.5325430322805476
2011,0.66416514,0.70241433,0.71166855,0.6602138,1.5056496358828384,1.423661152472681,1.4051485043698744,1.514660792394744
2012,0.67845726,0.68747044,0.7299088,0.67310286,1.4739321970048382,1.454608005659867,1.370034129146572,1.4856570456624012
2013,0.68637025,0.69082886,0.71381086,0.67824495,1.4569395960985054,1.4475365147320771,1.4009313313669722,1.4743935835836028
2014,0.6707917,0.7067295,0.6840464,0.6778363,1.4907757825494663,1.4149685842560058,1.4618891613515534,1.475282456191877
2015,0.65854794,0.73428214,0.72080046,0.6930756,1.518492341247548,1.3618743409682923,1.3873465075942537,1.4428440474827782
2016,0.6597017,0.7141704,0.7056205,0.69657695,1.5158366159322252,1.400226059693413,1.4171923312272965,1.4355915678628093
2017,0.6719262,0.676584,0.7124141,0.686306,1.4882586799261353,1.4780130657597663,1.4036780291700568,1.4570759986882402
2018,0.64425653,0.66365606,0.6992812,0.69009626,1.5521767340057404,1.5068046031807476,1.4300398431911647,1.4490732079599278
