Year,Control Words,Sentence With Control Words,Context Words
1979,衣服,1,"['穿', '多', '了', '不能', '干活', '穿少', '了', '冻得', '站不住脚']"
1979,衣服,2,"['妇女', '们', '主动', '组织', '起来', '帮助', '战士', '们', '浆洗']"
1979,衣服,3,"['有些', '袜子', '实在', '不能', '再补', '了', '我', '也', '不敢', '扔掉', '了', '就要', '查问', '我', '那', '一件', '什么', '什么样', '的', '怎么', '不见', '了']"
1979,衣服,4,"['地方', '财政开支', '中', '拨款', '进行', '救济', '为', '他们', '提供', '棉毯', '铁锅', '锄头', '等', '生活用品', '和', '生产工具']"
1979,衣服,5,"['一名', '越军', '下士', '说', '我们', '穿', '的', '胶鞋', '坐', '的', '汽车', '都', '是', '中国', '支援', '的']"
1979,衣服,6,"['穿', '了', '再', '穿', '只能', '用', '清水', '洗一洗']"
1979,衣服,7,"['出国前', '做', '服装费', '都', '没有', '达到', '国家', '规定', '的', '标准']"
1979,衣服,8,"['秦宝忠', '以苦为荣', '以苦为乐', '常常', '带', '着', '两套', '下井', '一套', '湿透', '了', '就', '再', '换上', '一套', '以苦为荣', '以苦为乐', '常常', '带', '着', '两套', '下井', '一套', '湿透', '了', '就', '再', '换上', '一套']"
1979,衣服,9,"['盛泽', '的', '名牌产品', '平挺', '滑润', '轻薄', '柔软', '是', '妇女', '的', '佳料']"
1979,衣服,10,"['在', '战士', '们', '的', '身边', '燃烧', '不少', '人', '的', '被', '烧着', '了', '浓烟', '呛得', '人', '透不过气', '来']"
1979,衣服,11,"['渔船', '而且', '将', '船上', '的', '渔民', '赶到', '岸上', '抢走了', '和', '财物', '然后', '让', '他们', '换乘', '小', '木船', '返回']"
1979,衣服,12,"['他们', '穿', '的', '是', '苏联', '的', '带', '的', '武器', '是', '苏联', '的']"
1979,衣服,13,"['印度人', '穿', '的', '就', '和', '中国', '人', '不同', '它', '是', '适合', '印度']"
1979,衣服,14,"['那新', '是', '特意', '出门', '穿', '的']"
1979,衣服,15,"['我们', '发', '一寸', '布票', '我', '身上', '穿', '的', '这套', '还是', '去年', '我', '兄弟', '死后', '从', '他', '身上', '脱下来']"
1979,衣服,16,"['他', '说', '最近', '以来', '群众反映', '做', '很', '不', '方便', '交活', '时间', '较长', '影响', '了', '群众']"
1979,衣服,17,"['人们', '几乎', '没有', '穿', '没有', '被子', '盖', '没有', '油和菜', '吃']"
1979,衣服,18,"['据', '报道', '首批', '救济', '物资', '包括', '大米', '等', '九月', '十四日', '已', '从', '雅加达', '空运', '到', '伊里安查亚']"
1979,衣服,19,"['她们', '还给', '战士', '们', '缝补', '做', '被褥', '有', '的', '知识青年', '还', '为', '伤员', '输']"
1979,衣服,20,"['核桃仁', '之类', '回家', '但', '他', '除了', '捎', '几件', '破旧', '给', '孩子', '穿', '以外', '什么', '特产', '也', '没有', '捎']"
1979,衣服,21,"['她', '自己', '除了', '几件', '上班', '穿', '的', '应面', '外', '其余', '和', '孩子', '们', '的', '多', '除了', '几件', '上班', '穿', '的', '应面', '外', '其余', '和', '孩子', '们', '的', '多', '是', '自己', '用', '应面', '外', '其余', '和', '孩子', '们', '的', '多', '是', '自己', '用', '旧衣服', '改', '的']"
1979,衣服,22,"['中国', '方面', '给', '他们', '每个', '人发', '了', '崭新', '的', '被褥', '和', '各种', '生活用品', '让', '他们', '自己', '参加', '伙食']"
1979,衣服,23,"['十三位', '老妈妈', '穿', '起', '节日', '才', '穿', '的', '崭新', '举着', '早就', '准备', '好', '的', '鞭炮', '挤', '在', '欢迎']"
1979,衣服,24,"['我们', '约定', '一个', '星期', '后来', '取']"
1979,衣服,25,"['夜夜', '在', '深山', '演习', '荆棘', '撕破', '了', '战士', '的']"
1979,衣服,26,"['不谈', '许多', '人', '直接', '到', '缝纫', '工厂', '去', '定做', '的', '事实', '只', '说', '一下', '市场', '上', '出售', '的']"
1979,衣服,27,"['六百年', '前', '我国', '人民', '就', '养蚕', '利用', '蚕丝', '织']"
1979,衣服,28,"['后', '逃入', '我国', '境内', '的', '他们', '连', '替换', '的', '都', '没有']"
1979,衣服,29,"['毫无', '招架之力', '的', '瘫痪', '人仅', '有', '的', '一身', '替换', '抢走了', '邻居', '给', '我', '的', '钱']"
1979,衣服,30,"['村里', '就', '立刻', '要', '胡主席', '换上', '当地', '群众', '的', '包', '好', '头巾', '假扮', '成农其俊', '的', '父亲']"
1979,衣服,31,"['船员', '对策', '总部', '临时', '筹集', '了', '大量', '毛毯', '和', '并', '派出', '上', '百名', '町', '政府', '职员', '和', '渔民']"
1979,衣服,32,"['的话', '说', '社会', '生产', '一方面', '是', '生活资料', '即', '食物', '住房', '以及', '为此', '所', '必需', '的', '工具', '的', '生产']"
1979,衣服,33,"['为了', '尽快', '掌握', '分缕', '接头', '技术', '毛玉根', '经常', '在', '口袋', '里装', '着', '一团', '线', '一有', '时间', '就', '练习']"
1979,衣服,34,"['他们', '常年累月', '在', '野外工作', '参加', '劳动', '翻山越岭', '鞋袜', '破得', '快', '粮食', '吃', '得', '多', '但', '基本工资']"
1979,衣服,35,"['驻', '在', '边远地区', '的', '雷达', '部队', '给', '干部战士', '缝补']"
