Year,Control Words,Sentence With Control Words,Context Words
1979,衣服,1,"['有', '的', '该', '做', '四件', '的', '只', '做', '了', '三件']"
1979,衣服,2,"['了', '募捐', '活动', '迄今已', '收集', '到', '近', '百吨', '粮食', '药物', '和', '建筑', '器材', '等']"
1979,衣服,3,"['有些', '袜子', '实在', '不能', '再补', '了', '我', '也', '不敢', '扔掉', '了', '就要', '查问', '我', '那', '一件', '什么', '什么样', '的', '怎么', '不见', '了']"
1979,衣服,4,"['不少', '人', '捐献', '了', '许多', '毯子']"
1979,衣服,5,"['夜夜', '在', '深山', '演习', '荆棘', '撕破', '了', '战士', '的']"
1979,衣服,6,"['我们', '约定', '一个', '星期', '后来', '取']"
1979,衣服,7,"['吃饭', '冒', '着', '烈日', '曝晒', '晚上', '不怕', '露水', '打湿', '和', '蚊虫', '叮咬', '趴在', '豆', '地里', '观察']"
1979,衣服,8,"['他', '飞快', '地向', '水边', '跑', '去', '也', '没脱', '就', '跳进', '水', '里']"
1979,衣服,9,"['到', '抓饭', '包子', '每人', '还', '做', '了', '一套', '新', '不再', '为', '生活', '打饥荒', '了']"
1979,衣服,10,"['干部', '的', '培养', '问题', '为', '牧民', '群众', '解决', '帐篷', '和', '商品', '供应', '问题', '筹划', '孩子', '的', '上学', '问题']"
1979,衣服,11,"['下班', '或是', '走路', '坐', '公共汽车', '都', '留心', '观察', '人们', '上', '的', '扣子']"
1979,衣服,12,"['不少', '同志', '鞋袜', '着', '了', '火', '出来', '在', '泥水', '里', '打个']"
1979,衣服,13,"['地方', '财政开支', '中', '拨款', '进行', '救济', '为', '他们', '提供', '棉毯', '铁锅', '锄头', '等', '生活用品', '和', '生产工具']"
1979,衣服,14,"['清理', '过', '王文亮', '看到', '后', '不吭', '不', '言', '脱掉', '和', '鞋子', '跳到', '尿', '库里', '清理']"
1979,衣服,15,"['我们', '需要', '一件', '或', '某种', '其它', '商品', '只能', '和', '商店', '见面', '不', '和', '商店', '见面', '不', '需要', '也', '不', '准许', '买', '的', '人', '到', '生产', '的', '工厂', '或', '纺织厂', '也', '不', '准许', '买', '的', '人', '到', '生产', '的', '工厂', '或', '纺织厂', '见面']"
