Year,图书馆_Mean_Cosine_Similarity,米饭_Mean_Cosine_Similarity,衣服_Mean_Cosine_Similarity,运输_Mean_Cosine_Similarity,图书馆_Semantic_Breadth,米饭_Semantic_Breadth,衣服_Semantic_Breadth,运输_Semantic_Breadth
1979,0.67833364,0.7296051,0.70837754,0.67561024,1.47420080751809,1.3706044944007478,1.411676603753613,1.4801433348222506
1980,0.64941186,0.7198024,0.72551477,0.70683014,1.5398548533164185,1.3892702057256043,1.3783316921508648,1.4147670534282086
1981,0.6932116,0.6969345,0.7346604,0.7014947,1.4425609413317666,1.4348550252334358,1.3611731592473395,1.4255275327110046
1982,0.65356004,0.7340507,0.7167205,0.7034421,1.5300813011095933,1.3623037374484657,1.3952439899123257,1.4215811147452084
1983,0.6841297,0.6849777,0.7240109,0.68458116,1.4617111026232223,1.4599015194806064,1.3811947044539066,1.4607471803684793
1984,0.6624523,0.71154654,0.7097509,0.6698789,1.5095426937211769,1.405389448783148,1.408945044040618,1.492807132637992
1985,0.6460474,0.72703856,0.70602614,0.6441762,1.5478740094568837,1.375442860746586,1.416378159066413,1.552370334517297
1986,0.61485493,0.7143195,0.6905501,0.6911586,1.6263999005773224,1.3999337299246606,1.44812087652954,1.4468459345808458
1987,0.6819107,0.73121715,0.7173921,0.6544584,1.4664676904449545,1.367582811179978,1.393937873228977,1.527980990875219
1988,0.64198256,0.732521,0.7239162,0.6589757,1.557674724344238,1.3651485805591252,1.3813754096441273,1.5175065924804207
1989,0.6461598,0.7612941,0.7389236,0.6948716,1.5476047211806032,1.3135527586210136,1.3533198661846284,1.4391147855324549
1990,0.6656337,0.7676478,0.72511137,0.69592077,1.5023278304505585,1.3026807297744474,1.3790985051806977,1.436945195083119
1991,0.6235944,0.74532664,0.7261067,0.6755824,1.6036064383534672,1.341693626281598,1.377208054244405,1.4802043197376622
1992,0.66785336,0.6587366,0.7331617,0.6727546,1.4973346946643915,1.5180574760631016,1.3639556138444793,1.4864261369480805
