Year,Control Word,Mean Cosine Similarity,Semantic Breadth
1979,衣服,0.72052413,1.387878566780073
1979,米饭,0.7296051,1.3706044944007478
1979,图书馆,0.6470329,1.5455164249423627
1979,运输,0.6908224,1.4475500033347493
1980,衣服,0.70973194,1.4089826716762437
1980,米饭,0.7198024,1.3892702057256043
1980,图书馆,0.6513118,1.5353629049859896
1980,运输,0.6836033,1.4628367349785856
1981,衣服,0.72280204,1.3835046673405569
1981,米饭,0.6969345,1.4348550252334358
1981,图书馆,0.69822603,1.4322009641387539
1981,运输,0.70274657,1.4229880906327503
1982,衣服,0.71313286,1.402263250661296
1982,米饭,0.7340507,1.3623037374484657
1982,图书馆,0.6782104,1.474468738448591
1982,运输,0.6921921,1.4446857054680524
1983,衣服,0.73252434,1.3651423600490784
1983,米饭,0.6849777,1.4599015194806064
1983,图书馆,0.6708786,1.4905826719885211
1983,运输,0.6958711,1.43704772167013
1984,衣服,0.7042684,1.4199132118104587
1984,米饭,0.71154654,1.405389448783148
1984,图书馆,0.67086643,1.4906096885628075
1984,运输,0.6732522,1.485327434477603
1985,衣服,0.7030772,1.4223189205402182
1985,米饭,0.72703856,1.375442860746586
1985,图书馆,0.64394414,1.5529297205836208
1985,运输,0.6819924,1.4662919747658045
1986,衣服,0.7029007,1.422676046580275
1986,米饭,0.7143195,1.3999337299246606
1986,图书馆,0.6392188,1.5644095397448339
1986,运输,0.6642208,1.5055234419643755
1987,衣服,0.7258242,1.3777441304971403
1987,米饭,0.73121715,1.367582811179978
1987,图书馆,0.6534129,1.530425911217466
1987,运输,0.6643036,1.5053358115380078
1988,衣服,0.7324302,1.3653177779550039
1988,米饭,0.732521,1.3651485805591252
1988,图书馆,0.6606512,1.5136580232496033
1988,运输,0.66547686,1.5026818544523084
1989,衣服,0.6969454,1.4348325688175394
1989,米饭,0.7612941,1.3135527586210136
1989,图书馆,0.6667601,1.4997898336709166
1989,运输,0.68294066,1.4642560558736928
1990,衣服,0.6987394,1.4311487036230448
1990,米饭,0.7676478,1.3026807297744474
1990,图书馆,0.65884507,1.5178075241826499
1990,运输,0.68821585,1.4530325004984261
1991,衣服,0.7604601,1.314993420414765
1991,米饭,0.74532664,1.341693626281598
1991,图书馆,0.6528809,1.5316729118409746
1991,运输,0.67753726,1.4759335839317882
1992,衣服,0.7337866,1.3627940647049572
1992,米饭,0.6587366,1.5180574760631016
1992,图书馆,0.66776633,1.4975298261398915
1992,运输,0.7109889,1.406491759927179
1993,衣服,0.7332331,1.363822784172153
1993,米饭,0.71384144,1.400871322895806
1993,图书馆,0.65320516,1.5309125935626762
1993,运输,0.69004154,1.4491881126815847
1994,衣服,0.73205185,1.3660234597687373
1994,米饭,0.75098616,1.3315824642284186
1994,图书馆,0.6880134,1.453460116647834
1994,运输,0.705999,1.416432567550477
1995,衣服,0.7367221,1.35736390168854
1995,米饭,0.7402836,1.3508336380862387
1995,图书馆,0.6657568,1.5020499490310528
1995,运输,0.6615729,1.511549278872251
1996,衣服,0.74151504,1.3485903124281082
1996,米饭,0.66630733,1.500808943228341
1996,图书馆,0.6797234,1.4711867010713735
1996,运输,0.6917556,1.4455972750708637
1997,衣服,0.7213736,1.3862442090119007
1997,米饭,0.66378456,1.5065128882552143
1997,图书馆,0.6722997,1.487431907446169
1997,运输,0.6724708,1.4870533977983704
1998,衣服,0.73973835,1.3518293414982978
1998,米饭,0.7148383,1.3989177183984953
1998,图书馆,0.6624794,1.509480897129531
1998,运输,0.6745027,1.4825738182266128
1999,衣服,0.72913194,1.3714938946132056
1999,米饭,0.71229744,1.403907896392814
1999,图书馆,0.6320466,1.5821618708896337
1999,运输,0.67188066,1.4883595493975623
2000,衣服,0.7059969,1.4164368725760177
2000,米饭,0.7410752,1.349390690828146
2000,图书馆,0.66929054,1.4941194239970819
2000,运输,0.66890675,1.4949766952556376
2001,衣服,0.71529937,1.3980160543540177
2001,米饭,0.7294853,1.3708295924773906
2001,图书馆,0.6709809,1.4903554536828947
2001,运输,0.6660593,1.5013677868806468
2002,衣服,0.7201877,1.3885268620665254
2002,米饭,0.71012604,1.408200714155135
2002,图书馆,0.67860144,1.4736190280528585
2002,运输,0.6802127,1.4701284385179734
2003,衣服,0.7206788,1.387580696492527
2003,米饭,0.7165327,1.395609704807018
2003,图书馆,0.66442835,1.5050531709232888
2003,运输,0.65407026,1.5288877418809241
2004,衣服,0.63402,1.5772373835325262
2004,米饭,0.6643166,1.5053063676681187
2004,图书馆,0.6155896,1.6244588434412484
2004,运输,0.64529663,1.5496749068308868
2005,衣服,0.7226043,1.3838833161432773
2005,米饭,0.687043,1.4555129500118378
2005,图书馆,0.6514577,1.5350190175400906
2005,运输,0.6794656,1.4717448711312149
2006,衣服,0.7083186,1.4117940889025846
2006,米饭,0.7133234,1.4018886523517158
2006,图书馆,0.6971931,1.4343228868289613
2006,运输,0.68126076,1.4678667141338162
2007,衣服,0.69402087,1.440878865532701
2007,米饭,0.6896737,1.449961000984806
2007,图书馆,0.6335569,1.5783901906810416
2007,运输,0.65176845,1.5342872245277945
2008,衣服,0.7207136,1.3875136789537965
2008,米饭,0.6730802,1.4857070393818432
2008,图书馆,0.6361135,1.572046437599546
2008,运输,0.68693197,1.455748235588521
2009,衣服,0.7034297,1.4216061697438787
2009,米饭,0.6744488,1.4826922629947772
2009,图书馆,0.6472045,1.5451066420219022
2009,运输,0.6501695,1.5380604790927495
2010,衣服,0.7061539,1.4161218377491507
2010,米饭,0.6482184,1.5426899487830221
2010,图书馆,0.6736404,1.484471602336263
2010,运输,0.67925113,1.4722095398336057
2011,衣服,0.70552653,1.4173811422050828
2011,米饭,0.70241433,1.423661152472681
2011,图书馆,0.6539627,1.5291392661811922
2011,运输,0.6806679,1.4691452814221584
2012,衣服,0.6760769,1.4791217037795628
2012,米饭,0.6891162,1.4511341180272268
2012,图书馆,0.6904107,1.448413296913824
2012,运输,0.65407985,1.5288653107688344
2013,衣服,0.71228313,1.4039360917305657
2013,米饭,0.712916,1.4026897653373795
2013,图书馆,0.68317306,1.4637579523252224
2013,运输,0.67520994,1.481020852226177
2014,衣服,0.7024792,1.423529726205057
2014,米饭,0.7134481,1.4016436372154861
2014,图书馆,0.6670327,1.4991768350002752
2014,运输,0.6774629,1.4760956439946327
2015,衣服,0.7248652,1.3795668526677423
2015,米饭,0.73428214,1.3618743409682925
2015,图书馆,0.6610941,1.5126438974480854
2015,运输,0.659778,1.5156613309786997
2016,衣服,0.6999299,1.4287145183781655
2016,米饭,0.7000427,1.42848424081259
2016,图书馆,0.6718023,1.4885331983789862
2016,运输,0.6591224,1.5171688729100539
2017,衣服,0.7168681,1.3949567520749684
2017,米饭,0.68737113,1.454818146170878
2017,图书馆,0.6565708,1.5230650097181861
2017,运输,0.6795197,1.47162765256
2018,衣服,0.6871092,1.4553727999122814
2018,米饭,0.67521065,1.481019283369622
2018,图书馆,0.6690428,1.4946726301944038
2018,运输,0.69664574,1.4354498238159252
2019,衣服,0.6501023,1.5382194053731273
2019,米饭,0.6669093,1.499454324342175
2019,图书馆,0.6677657,1.4975312965015775
2019,运输,0.6403591,1.5616237736822358
2020,衣服,0.71100694,1.4064560337880427
2020,米饭,0.7141616,1.4002433556065725
2020,图书馆,0.589192,1.6972396866727681
2020,运输,0.6428932,1.555468322795249
2021,衣服,0.6896305,1.4500518578955375
2021,米饭,0.6901139,1.4490361619562298
2021,图书馆,0.64671016,1.5462877590000954
2021,运输,0.66312003,1.5080226093515794
2022,衣服,0.6894617,1.4504068729225827
2022,米饭,0.70836943,1.4116927582869303
2022,图书馆,0.6547984,1.527187631477811
2022,运输,0.68488914,1.460090319570032
2023,衣服,0.69443655,1.440016369814995
2023,米饭,0.6564479,1.5233501686314304
2023,图书馆,0.659156,1.5170914971538962
2023,运输,0.6618584,1.5108972409482193
