Year,Control Words,Sentence With Control Words,Context Words
1979,衣服,1,"['有', '一次', '一位', '送菜', '进城', '的', '农民', '划破', '了', '又', '掉', '了', '扣子', '来到', '门市部', '买']"
1979,衣服,2,"['随信', '寄', '去', '人民币', '六十元', '还', '寄', '去', '一些', '帮助', '表哥', '解决', '一些', '急需']"
1979,衣服,3,"['的', '父亲', '四岁', '的', '小琴', '牵', '着', '妈妈', '的', '真是', '寸步难行']"
1979,衣服,4,"['她', '把', '学生', '当', '亲人', '孩子', '们', '破', '了', '她', '给', '缝补', '头发', '长', '了', '她']"
1979,衣服,5,"['刚', '走出', '县城', '两里路', '突然', '下', '起', '暴雨', '被', '淋得', '透湿']"
1979,衣服,6,"['老百姓', '用', '这样', '的', '布作', '还', '不知', '穿', '多少', '年哩']"
1979,衣服,7,"['出国前', '做', '服装费', '都', '没有', '达到', '国家', '规定', '的', '标准']"
1979,衣服,8,"['白天', '到', '晚上', '从', '黄昏', '到', '黎明', '大家', '的', '湿透', '了', '可是', '为', '伤员', '储存', '了', '一点', '水']"
1979,衣服,9,"['她', '把', '撩起来', '给', '小', '吴看', '贴身', '那', '件', '编结', '得']"
1979,衣服,10,"['他们', '常年累月', '在', '野外工作', '参加', '劳动', '翻山越岭', '鞋袜', '破得', '快', '粮食', '吃', '得', '多', '但', '基本工资']"
1979,衣服,11,"['为了', '尽快', '掌握', '分缕', '接头', '技术', '毛玉根', '经常', '在', '口袋', '里装', '着', '一团', '线', '一有', '时间', '就', '练习']"
1979,衣服,12,"['工种', '如果', '向', '总理', '打个', '报告', '要点', '布', '补补', '您', '会', '批准', '吧']"
1979,衣服,13,"['有时', '送到', '外宾', '手里', '还是', '湿', '的', '只得', '自己', '晾干']"
1979,衣服,14,"['我', '连忙', '拉灯', '穿', '好', '看', '了', '看表', '十', '一点四十五分']"
1979,衣服,15,"['欢迎', '周总理', '身穿', '一件', '皮领', '冬', '大衣', '没有', '戴帽子', '上落', '着', '一层层', '的', '雪花', '冒', '着', '严寒', '和']"
1979,衣服,16,"['村里', '就', '立刻', '要', '胡主席', '换上', '当地', '群众', '的', '包', '好', '头巾', '假扮', '成农其俊', '的', '父亲']"
1979,衣服,17,"['的话', '说', '社会', '生产', '一方面', '是', '生活资料', '即', '食物', '住房', '以及', '为此', '所', '必需', '的', '工具', '的', '生产']"
1979,衣服,18,"['北京市', '做', '真难', '哪']"
1979,衣服,19,"['但是', '着', '穿', '黑线', '缝', '的', '白', '恐怕', '就', '太', '不雅观', '了']"
1979,衣服,20,"['生产', '本身', '包括', '两种', '一方面', '是', '生活资料', '即', '食物', '住房', '以及', '为此', '所', '必需', '的', '工具', '的', '生产']"
