Year,Control Words,Sentence With Control Words,Context Words
1979,衣服,1,"['流浪', '吃', '上顿', '没有', '下', '顿', '孩子', '因', '没', '穿', '出', '不了', '门口']"
1979,衣服,2,"['犯了罪', '我', '是', '来', '抓', '你', '的', '穿', '起', '跟我走', '到', '公安局', '去', '坦白交代', '你', '的', '罪行']"
1979,衣服,3,"['有时', '他', '喜欢', '穿带', '补丁', '的']"
1979,衣服,4,"['描绘', '真实', '细节', '安上', '头发', '穿', '上', '真正', '的']"
1979,衣服,5,"['越南', '武装', '公安人员', '二月', '十九日', '为了', '抢夺', '边民', '的', '化装', '逃命', '悍然', '集体', '屠杀', '了', '十五名', '沙族', '居民']"
1979,衣服,6,"['要', '买', '的', '东西', '连同', '洗衣店', '送来', '的', '干净', '一并', '送到', '她', '手里']"
1979,衣服,7,"['欢迎', '周总理', '身穿', '一件', '皮领', '冬', '大衣', '没有', '戴帽子', '上落', '着', '一层层', '的', '雪花', '冒', '着', '严寒', '和']"
1979,衣服,8,"['破', '了', '找', '不到', '人', '缝补', '桌椅', '坏', '了']"
1979,衣服,9,"['见势不妙', '想要', '逃跑', '小王', '手疾眼快', '一把', '抓住', '他', '的', '严厉', '喝道', '站住']"
1979,衣服,10,"['只好', '用', '黑线', '缝白', '成', '了', '怪物']"
1979,衣服,11,"['刚', '走出', '县城', '两里路', '突然', '下', '起', '暴雨', '被', '淋得', '透湿']"
1979,衣服,12,"['这时', '王娟', '赶忙', '帮', '他', '缝好', '缀', '上', '扣子']"
1979,衣服,13,"['世界', '其它', '地区', '人们', '把', '海豹', '皮', '制作', '的', '看作', '是', '稀贵', '的', '衣饰', '而', '在', '格陵兰', '居民', '格陵兰', '居民', '中', '差不多', '每人', '都', '有', '海豹', '皮']"
1979,衣服,14,"['看见', '谁', '穿件', '的确良', '谁', '早上', '吃个', '荷包蛋', '心里', '总', '嘀咕', '一下', '他们']"
1979,衣服,15,"['着', '农民', '种', '的', '粮食', '穿着', '工人', '织造', '的', '住', '着', '工人', '盖', '的', '房子', '人民解放军', '警卫', '着']"
1979,衣服,16,"['然后', '他们', '脱', '下', '军装', '换上', '了', '我们', '的']"
1979,衣服,17,"['一个', '经验', '要', '夏天', '忙', '着', '做', '冬天', '的', '冬季', '为', '夏季', '的', '服装', '奔走']"
1979,衣服,18,"['帽徽', '奖章', '全扒掉', '了', '有', '的', '换上', '老百姓', '的', '溜掉', '了']"
1979,衣服,19,"['服务', '他们', '把', '缝纫机', '搬上', '万吨轮', '为', '海员', '缝补', '为', '轮船', '缝补', '油布']"
1979,衣服,20,"['注一', '邓颖超', '同志', '身上', '穿', '的', '是', '用', '周总理', '的', '一件', '旧', '制服', '翻改', '的']"
1979,衣服,21,"['第二天', '他', '上街', '给', '孩子', '买', '了', '一身', '新', '换上', '又', '拿出', '粮票', '托人', '把', '孩子', '送回', '家乡']"
1979,衣服,22,"['船员', '对策', '总部', '临时', '筹集', '了', '大量', '毛毯', '和', '并', '派出', '上', '百名', '町', '政府', '职员', '和', '渔民']"
1979,衣服,23,"['有', '的', '人', '甚至', '连', '身上', '穿', '的', '也', '被', '越南', '武装', '公安人员', '强行', '扒', '下', '拿走']"
1979,衣服,24,"['恒温', '自动', '熨烫', '又', '能', '提高', '工作效率', '熨烫', '的', '平展', '匀称', '美观']"
1979,衣服,25,"['连', '缝补', '战士', '他', '也', '想到', '了', '要求', '在', '袖子', '肩膀', '和']"
1979,衣服,26,"['每当', '顾客', '前来', '理发', '她', '总是', '帮助', '放', '挂', '帽子']"
