Year,Control Word,Mean Cosine Similarity,Semantic Breadth
1979,衣服,0.7681537,1.3018227534147286
1979,米饭,0.794727,1.2582936851300281
1979,图书馆,0.72071534,1.3875103511967857
1979,运输,0.7097388,1.4089690639659689
1980,衣服,0.7771237,1.2867964434959671
1980,米饭,0.78472894,1.2743253670730625
1980,图书馆,0.7236911,1.3818050158785695
1980,运输,0.71675354,1.3951797107540385
1981,衣服,0.7896972,1.2663081971964507
1981,米饭,0.77707505,1.2868769845202435
1981,图书馆,0.69552696,1.4377587945365697
1981,运输,0.7316058,1.366856252356039
1982,衣服,0.75944716,1.3167473079311716
1982,米饭,0.78684115,1.2709045463511714
1982,图书馆,0.7105779,1.4073052267919886
1982,运输,0.7502088,1.3329622454050658
1983,衣服,0.7756372,1.2892625416380639
1983,米饭,0.7582237,1.318871968243085
1983,图书馆,0.70076483,1.4270122446570235
1983,运输,0.71674794,1.3951906169088073
1984,衣服,0.7675308,1.3028793130092886
1984,米饭,0.7759261,1.2887825052927204
1984,图书馆,0.69053,1.4481630007878175
1984,运输,0.7092667,1.4099068357457414
1985,衣服,0.7537287,1.3267373475827586
1985,米饭,0.7979544,1.2532044743686495
1985,图书馆,0.7066054,1.4152170867148195
1985,运输,0.6955984,1.4376110788113834
1986,衣服,0.76302654,1.310570410674219
1986,米饭,0.7899726,1.2658666842317838
1986,图书馆,0.73155373,1.3669535871579555
1986,运输,0.7281544,1.3733350665220305
1987,衣服,0.7652621,1.3067417879692511
1987,米饭,0.7987123,1.2520152544344776
1987,图书馆,0.71763015,1.3934754593002763
1987,运输,0.725534,1.378295117634992
1988,衣服,0.7772661,1.286560701808792
1988,米饭,0.7964032,1.2556453355400834
1988,图书馆,0.6868843,1.455849294073606
1988,运输,0.7132507,1.402031578355358
1989,衣服,0.76999885,1.298703240957091
1989,米饭,0.82789844,1.2078776192453313
1989,图书馆,0.7243682,1.3805133630031132
1989,运输,0.6970222,1.4346745347992815
1990,衣服,0.7631895,1.3102905727380754
1990,米饭,0.8194886,1.2202732512811905
1990,图书馆,0.739087,1.3530207127166824
1990,运输,0.73004764,1.3697736159214682
1991,衣服,0.7810364,1.280350095729301
1991,米饭,0.8063454,1.2401633295587575
1991,图书馆,0.69260603,1.4438222509619405
1991,运输,0.72443056,1.3803945522797239
1992,衣服,0.7961373,1.2560647937514557
1992,米饭,0.7265218,1.3764212081814993
1992,图书馆,0.69447434,1.439938012312054
1992,运输,0.72839206,1.372887005006632
1993,衣服,0.7992153,1.2512272713170525
1993,米饭,0.7986013,1.252189250477691
1993,图书馆,0.74228567,1.3471902287287087
1993,运输,0.7081088,1.4122123949524306
1994,衣服,0.7777012,1.2858408874970004
1994,米饭,0.8080009,1.237622349827818
1994,图书馆,0.7325384,1.3651161456653014
1994,运输,0.7002314,1.4280993941657651
1995,衣服,0.7921178,1.2624385315027296
