Year,Control Word,Mean Cosine Similarity,Semantic Breadth
1979,衣服,0.7141813,1.4002046741213092
1979,米饭,0.7296051,1.3706044944007478
1979,图书馆,0.67652583,1.4781401593977914
1979,运输,0.67984194,1.4709301494714775
1980,衣服,0.70961815,1.4092085980692655
1980,米饭,0.7198024,1.3892702057256043
1980,图书馆,0.64414054,1.552456235076065
1980,运输,0.6987607,1.4311051218777986
1981,衣服,0.7112215,1.4060317036498444
1981,米饭,0.6969345,1.4348550252334358
1981,图书馆,0.6771776,1.4767174640254446
1981,运输,0.6983003,1.4320486431050736
1982,衣服,0.7190218,1.3907784213521073
1982,米饭,0.7340507,1.3623037374484657
1982,图书馆,0.66347975,1.5072050156032386
1982,运输,0.6941478,1.4406153324080266
1983,衣服,0.70907956,1.4102789747571132
1983,米饭,0.6849777,1.4599015194806064
1983,图书馆,0.6849988,1.459856550078909
1983,运输,0.66622245,1.5010001469041252
1984,衣服,0.71393377,1.4006901589195564
1984,米饭,0.71154654,1.405389448783148
1984,图书馆,0.6695107,1.4936280583726225
1984,运输,0.67753166,1.4759457891396175
1985,衣服,0.7192891,1.3902615326953367
1985,米饭,0.72703856,1.375442860746586
1985,图书馆,0.649502,1.5396411893912314
1985,运输,0.6874095,1.4547369081867068
1986,衣服,0.71631664,1.3960306708408088
1986,米饭,0.7143195,1.3999337299246606
1986,图书馆,0.6363038,1.5715763878207536
1986,运输,0.6927701,1.4434802629394032
1987,衣服,0.70530134,1.4178336791038413
1987,米饭,0.73121715,1.367582811179978
1987,图书馆,0.657239,1.521516479950694
1987,运输,0.69195265,1.4451856006341266
1988,衣服,0.7305688,1.3687964283986398
1988,米饭,0.732521,1.3651485805591252
1988,图书馆,0.6623585,1.5097563723551033
1988,运输,0.6771866,1.476697837378907
1989,衣服,0.6885919,1.4522389874881574
1989,米饭,0.7612941,1.3135527586210136
1989,图书馆,0.61729693,1.6199659267916533
1989,运输,0.7033699,1.4217270002370221
1990,衣服,0.71842605,1.39193171201414
1990,米饭,0.7676478,1.3026807297744474
1990,图书馆,0.6552584,1.5261154589676071
1990,运输,0.69793916,1.4327896483156035
1991,衣服,0.7223414,1.384386904464258
1991,米饭,0.74532664,1.341693626281598
1991,图书馆,0.62748045,1.5936751564373834
1991,运输,0.6924051,1.4442412300297074
1992,衣服,0.730257,1.3693809640295016
1992,米饭,0.6587366,1.5180574760631016
1992,图书馆,0.6931233,1.4427447864026517
1992,运输,0.6833616,1.4633541228645157
1993,衣服,0.7366949,1.3574140902736307
1993,米饭,0.71384144,1.400871322895806
1993,图书馆,0.65405107,1.5289326060797823
1993,运输,0.6981555,1.4323456135375194
1994,衣服,0.74416536,1.3437873522539767
1994,米饭,0.75098616,1.3315824642284186
1994,图书馆,0.68057907,1.4693369948491104
1994,运输,0.69567513,1.4374525553373982
1995,衣服,0.7511199,1.331345347743134
1995,米饭,0.7402836,1.3508336380862387
1995,图书馆,0.6715806,1.4890245208836617
1995,运输,0.6786149,1.4735897764031751
1996,衣服,0.7304593,1.3690017187168122
1996,米饭,0.66630733,1.500808943228341
1996,图书馆,0.7028716,1.422734921446997
1996,运输,0.6611169,1.5125918017443853
1997,衣服,0.7200598,1.3887735202534246
1997,米饭,0.66378456,1.5065128882552143
1997,图书馆,0.6550468,1.5266084323897788
1997,运输,0.6853116,1.4591902098703724
1998,衣服,0.69453275,1.4398169086584087
1998,米饭,0.7148383,1.3989177183984953
1998,图书馆,0.69945633,1.4296818131850808
1998,运输,0.6928109,1.4433953190097457
1999,衣服,0.73065907,1.368627372602924
1999,米饭,0.71229744,1.403907896392814
1999,图书馆,0.6665379,1.5002898239683795
1999,运输,0.64574176,1.5486066734608674
2000,衣服,0.7232928,1.3825659011573288
2000,米饭,0.7410752,1.349390690828146
2000,图书馆,0.67960644,1.4714398577641068
2000,运输,0.6649824,1.5037992469537858
2001,衣服,0.7114237,1.4056321245767638
2001,米饭,0.7294853,1.3708295924773906
2001,图书馆,0.66547346,1.5026895261461208
2001,运输,0.6767072,1.4777439754544575
2002,衣服,0.72394544,1.3813195668062404
2002,米饭,0.71012604,1.408200714155135
2002,图书馆,0.70967156,1.4091025492106581
2002,运输,0.7018462,1.4248136203532478
2003,衣服,0.7003923,1.4277712528337836
2003,米饭,0.7165327,1.395609704807018
2003,图书馆,0.6792362,1.472241966525596
2003,运输,0.69134265,1.446460734532566
2004,衣服,0.6360851,1.5721167041504116
2004,米饭,0.6643166,1.5053063676681187
2004,图书馆,0.6210984,1.61005084113685
2004,运输,0.61830145,1.61733406584953
2005,衣服,0.6980608,1.4325399519122928
2005,米饭,0.687043,1.4555129500118378
2005,图书馆,0.6343202,1.5764908650310225
2005,运输,0.6948851,1.4390868876657765
2006,衣服,0.71811223,1.392539992782159
2006,米饭,0.7133234,1.4018886523517158
2006,图书馆,0.6758106,1.479704574439374
2006,运输,0.68165624,1.4670151012207275
2007,衣服,0.69769055,1.433300200208367
2007,米饭,0.6896737,1.449961000984806
2007,图书馆,0.66194195,1.5107065003485196
2007,运输,0.6504495,1.537398334349272
2008,衣服,0.70697105,1.4144850782471572
2008,米饭,0.6730802,1.4857070393818432
2008,图书馆,0.66449493,1.5049023736643232
2008,运输,0.6937567,1.441427521537796
2009,衣服,0.7065438,1.4153404154839977
2009,米饭,0.6744488,1.4826922629947772
2009,图书馆,0.6459442,1.548121391750318
2009,运输,0.6545257,1.5278238948143628
