chinese,foundation,frequency
抗命,auth,1
抗拒,auth,68
抗捐,auth,1
抗日战争,auth,284
抗税,auth,4
抗议,auth,415
抗诉,auth,48
抗辩,auth,0
护国军,auth,2
护国战争,auth,0
护国运动,auth,0
护法战争,auth,0
报到,auth,12
报官,auth,0
报审,auth,0
报帐,auth,0
报案,auth,6
报警,auth,9
抱残守缺,auth,8
抵制,auth,379
抵抗,auth,204
担任,auth,1221
担当,auth,43
拒捕,auth,11
拖堂,auth,1
拘押,auth,5
拘拿,auth,0
拘捕,auth,17
拘票,auth,0
招募,auth,11
招安,auth,0
招降纳叛,auth,4
拜见,auth,1
拜谒,auth,6
拥戴,auth,10
拨正,auth,3
拷掠,auth,0
拿着鸡毛当令箭,auth,0
持不同政见者,auth,0
挂帅,auth,103
指导,auth,1066
指导者,auth,5
指战员,auth,564
指手划脚,auth,16
指挥中心,auth,0
指挥官,auth,36
指挥有方,auth,0
指挥部,auth,230
挥师,auth,7
捕拿,auth,0
授勋,auth,18
授命,auth,2
授权,auth,61
授衔,auth,1
掌控,auth,0
掌玺官,auth,0
掌管,auth,14
排列名次,auth,0
排列次序,auth,0
排名榜,auth,0
排名表,auth,0
排行,auth,1
排长,auth,152
接班,auth,17
控制权,auth,11
推尊,auth,0
推恩,auth,0
推戴,auth,0
提干,auth,19
提挈,auth,2
提督,auth,0
揪送,auth,0
搜捕,auth,17
摊派,auth,29
擅自,auth,144
擅闯,auth,0
操作规程,auth,47
操纵,auth,126
支配力,auth,0
支配权,auth,12
收编,auth,5
改革创新,auth,0
放肆,auth,30
放荡不羁,auth,0
政令,auth,19
政府,auth,4667
政府机关,auth,0
政敌,auth,1
政教,auth,12
政教合一,auth,4
政权,auth,1123
政治异议,auth,0
政治运动,auth,0
政治部,auth,103
政法,auth,135
政派,auth,3
政见,auth,34
故训,auth,0
敌国,auth,4
敌我矛盾,auth,56
教主,auth,1
教会,auth,51
教宗,auth,0
教廷,auth,4
教权,auth,1
教条,auth,59
教法,auth,3
教皇,auth,80
教规,auth,5
教长,auth,7
敢不从命,auth,0
敬启,auth,0
敬告,auth,8
敬备,auth,0
敬奉,auth,1
敬悉,auth,0
敬拜,auth,0
敬服,auth,0
敬而远之,auth,8
敬茶,auth,0
敬酒不吃吃罚酒,auth,0
整治,auth,18
整肃,auth,2
斗争,auth,5184
新官上任三把火,auth,1
方丈,auth,2
方命,auth,0
无产者,auth,19
无法无天,auth,26
无秩序,auth,0
旨意,auth,22
昆仲,auth,0
晋爵,auth,0
晋级,auth,72
智囊机构,auth,0
最高法院,auth,58
有序,auth,3
有权,auth,550
服侍,auth,1
服役,auth,26
望族,auth,0
机构,auth,1346
机长,auth,3
杀一儆百,auth,3
杀虎斩蛟,auth,0
杀鸡儆猴,auth,2
杀鸡吓猴,auth,0
杀鸡警猴,auth,0
权力,auth,664
权势,auth,61
权威,auth,253
权柄,auth,1
权钥,auth,0
权限,auth,78
李自成,auth,16
村长,auth,8
条例,auth,456
条条框框,auth,66
杯酒释兵权,auth,0
枢机,auth,0
查封,auth,18
校官,auth,1
校监,auth,0
校规,auth,4
校长,auth,229
根本法,auth,2
档次,auth,1
检查,auth,1453
检阅,auth,131
次序,auth,53
次第,auth,0
次长,auth,24
正义斗争,auth,330
正宫娘娘,auth,0
步调一致,auth,21
武警,auth,0
武警战士,auth,0
殁,auth,5
殉葬,auth,3
残暴不仁,auth,1
母权制,auth,1
毒枭,auth,0
毒贩,auth,1
民变,auth,0
民警,auth,154
没大没小,auth,0
治军,auth,15
治国,auth,23
治安,auth,149
治理,auth,235
治罪,auth,22
法令,auth,392
法制,auth,1052
法学家,auth,5
法家,auth,16
法庭,auth,249
法律,auth,2000
法案,auth,80
法治,auth,41
法网,auth,11
法轮功,auth,0
法院,auth,314
法院裁决,auth,0
泥古不化,auth,0
洋务派,auth,0
派出所,auth,174
海关,auth,32
海军少校,auth,0
淫威,auth,30
清官,auth,25
清廉为官,auth,0
清理队伍,auth,0
渠魁,auth,0
温驯,auth,0
满孝,auth,2
点检,auth,0
照办,auth,62
煽动,auth,370
煽动颠覆国家,auth,0
燕太子丹,auth,2
爱国主义,auth,174
爱戴,auth,97
爱民如子,auth,0
爵位,auth,5
爵禄,auth,0
父权制,auth,1
牝鸡牡鸣,auth,0
牵头,auth,3
特别提款权,auth,0
特权,auth,251
特种警察,auth,0
特警,auth,0
犯上作乱,auth,4
独夫民贼,auth,1
独尊,auth,2
独尊儒术,auth,0
独裁,auth,90
独裁主义,auth,0
独裁者,auth,37
独霸,auth,5
独霸一方,auth,0
猖猖狂狂,auth,0
猛将,auth,2
猪仔馆,auth,0
玄武门之变,auth,0
率领,auth,1077
王后,auth,61
王太后,auth,0
王室,auth,27
王朝,auth,91
王道,auth,0
环保局,auth,0
现役,auth,7
班主任,auth,64
班长,auth,295
理事,auth,78
瑷珲条约,auth,0
生荣死哀,auth,0
甲第,auth,0
申奏,auth,0
申状,auth,0
申辩,auth,22
百善孝为先,auth,0
百行孝为先,auth,0
皇上,auth,2
皇后,auth,29
皇室,auth,6
皇家骑警,auth,0
皇帝,auth,159
皇恩,auth,0
监制,auth,0
监察,auth,40
监查,auth,0
监牧,auth,0
监督,auth,716
监督管理委员会,auth,0
监管,auth,11
监视,auth,133
直属,auth,66
直辖,auth,7
相互和谐,auth,0
相国,auth,16
相夫教子,auth,0
省直管县,auth,0
省长,auth,118
督促,auth,74
督军,auth,0
督办,auth,1
督察,auth,0
督建,auth,0
督抚,auth,3
督责,auth,0
瞎指挥,auth,399
瞻拜,auth,0
知人善任,auth,12
知法守法,auth,0
知法懂法,auth,0
破四旧,auth,0
破戒,auth,0
碍难从命,auth,0
磕头,auth,20
示威,auth,369
示威游行,auth,181
礼坏乐崩,auth,0
礼敬,auth,0
社会等级,auth,0
社会阶层,auth,7
社稷,auth,6
神圣罗马帝国,auth,0
神权,auth,7
神舆,auth,0
祸首,auth,5
祸首罪魁,auth,0
禁制,auth,0
禁制令,auth,0
禁止,auth,295
禁止令行,auth,0
禁足,auth,0
秉承,auth,8
种姓制,auth,0
种姓制度,auth,0
科长,auth,61
秘密警察,auth,19
秩序,auth,474
积习,auth,2
穷山恶水,auth,1
空军一号,auth,0
空军司令,auth,8
窃权,auth,0
章程,auth,135
等第,auth,0
等级,auth,91
等级制度,auth,3
签呈,auth,0
管制,auth,134
管手管脚,auth,0
管教无方,auth,0
管束,auth,5
管治,auth,0
管理员,auth,36
篝火狐鸣,auth,0
粪青,auth,0
精神领袖,auth,2
紧箍咒,auth,31
红巾军,auth,0
红衣主教,auth,9
约法,auth,3
纲领,auth,220
练兵,auth,55
组长,auth,125
终审,auth,14
经理,auth,162
结党营私,auth,7
绕膝,auth,0
绝食,auth,22
统制,auth,2
统属,auth,1
统帅,auth,34
统御,auth,0
统战,auth,54
统战部,auth,56
统摄,auth,0
统治,auth,869
统治权,auth,5
统辖,auth,0
统领,auth,0
统驭,auth,0
维新派,auth,7
维权,auth,0
维权人士,auth,0
绿林,auth,0
缉拿,auth,1
缉捕,auth,1
缉获,auth,0
编制,auth,163
网管员,auth,0
罢市,auth,13
罢黜百家,auth,1
群雄,auth,8
群雄逐鹿,auth,0
翘首,auth,9
老佛爷,auth,0
老大,auth,29
老太爷,auth,0
老板,auth,43
老爷,auth,75
耕奴,auth,0
职位,auth,79
职务,auth,455
职权,auth,130
职级,auth,0
联军,auth,5
联合,auth,1900
联合国,auth,2015
联合国安全理事会,auth,44
联合政府,auth,18
聚义,auth,0
育人,auth,2
臣仆,auth,0
臣妾,auth,0
自首,auth,21
至高,auth,0
致意,auth,96
舍车保帅,auth,1
舜日尧年,auth,0
舰长,auth,6
船长,auth,63
良民,auth,1
良法善治,auth,0
良臣,auth,0
节度使,auth,2
芝麻官,auth,1
英勇斗争,auth,83
英联邦,auth,86
药监局,auth,0
获准,auth,15
获刑,auth,0
营盘,auth,1
营长,auth,62
落入法网,auth,1
董事,auth,15
藩镇,auth,1
虞舜,auth,1
蠲除苛政,auth,0
蠹吏,auth,0
蠹政,auth,0
行令,auth,0
行孝道,auth,0
行政权,auth,3
行辈,auth,0
街头霸王,auth,0
衣钵,auth,19
表彰,auth,354
被捕,auth,237
裁兵,auth,0
裁决,auth,56
裁判,auth,52
裁定,auth,102
要职,auth,9
规例,auth,1
规制,auth,0
规复,auth,0
规定,auth,3561
规条,auth,1
规章,auth,34
规谏,auth,0
誓师,auth,1
警力,auth,0
警备区,auth,9
警官,auth,4
警察,auth,263
警察局,auth,18
警政署,auth,0
警方,auth,12
计划生育,auth,376
讨平,auth,0
训令,auth,3
训导职务,auth,0
训条,auth,0
训示,auth,0
训话,auth,2
议员,auth,498
许可,auth,70
许可证,auth,28
许嫁,auth,0
证监会,auth,0
诛锄异己,auth,0
诫命,auth,0
误判,auth,0
请安,auth,1
诸侯,auth,9
调防,auth,0
谋反,auth,1
谨上,auth,0
豪强,auth,2
财阀,auth,1
责令,auth,38
责罚,auth,0
贤妻良母,auth,0
贪官,auth,5
贱民,auth,2
贵族,auth,65
赃物,auth,38
资产阶级,auth,1523
赐死,auth,1
赡养义务,auth,0
赦罪,auth,0
走卒,auth,42
起义,auth,280
越权,auth,2
越级,auth,17
跟班,auth,17
跪拜,auth,3
身价,auth,5
转干,auth,0
辅弼,auth,1
辈分,auth,0
辖制,auth,0
达官,auth,0
达官显贵,auth,1
达官贵人,auth,5
达鲁花赤,auth,0
迂腐,auth,0
近臣,auth,1
违令,auth,1
违傲,auth,0
违命,auth,1
违忤,auth,0
违拗,auth,0
违逆,auth,1
连卺,auth,0
连横,auth,1
连队,auth,312
迫令,auth,0
追赃,auth,2
逃窜,auth,29
逆贼,auth,4
逊顺,auth,0
逐鹿,auth,0
通缉,auth,12
造反派,auth,25
逼上梁山,auth,8
遵令,auth,0
遵命,auth,3
遵奉,auth,1
遵循,auth,206
遵旨,auth,0
遵法施行,auth,0
遵纪守法,auth,88
遵行,auth,1
邦国,auth,0
郡治,auth,0
部下,auth,27
部众,auth,1
部属,auth,12
部长,auth,3879
部队,auth,3639
都会,auth,0
都尉,auth,0
都督,auth,3
酋长,auth,10
酋长国,auth,1
释典,auth,0
重惩,auth,0
重用,auth,64
金枝玉叶,auth,0
钦佩,auth,86
钦定,auth,7
长官,auth,138
长老,auth,28
长辈,auth,14
门派,auth,0
门生,auth,4
门风,auth,1
闯王,auth,2
阅兵,auth,6
队长,auth,398
防务,auth,486
防控,auth,0
防暴警察,auth,2
防盗,auth,3
阶级斗争,auth,1066
阿哥,auth,1
附属,auth,66
院士,auth,18
院长,auth,603
除恶务尽,auth,1
隶属,auth,25
集权,auth,12
雍正,auth,5
霸主,auth,38
霸权,auth,378
静坐抗议,auth,0
革职,auth,3
顶拜,auth,0
顶撞,auth,9
顺服,auth,0
顺次,auth,1
顺治,auth,0
顽民,auth,0
领导,auth,10503
领导人,auth,2458
领导者,auth,148
领导集体,auth,3
领袖,auth,670
领队,auth,44
颐指气使,auth,4
颐指风使,auth,0
颛顼,auth,0
颠覆,auth,198
颠覆国家,auth,0
颠覆政府,auth,0
颠覆政府罪,auth,0
饮流怀源,auth,0
首县,auth,0
首席,auth,42
首席执行官,auth,0
首脑,auth,239
首领,auth,12
驯从,auth,0
驳斥,auth,294
驻守,auth,35
驾御,auth,0
骊姬之乱,auth,0
骚乱者,auth,0
高官厚禄,auth,7
高官显爵,auth,0
高干,auth,14
高薪养廉,auth,0
高贵,auth,93
魁元,auth,2
魁首,auth,0
魔头,auth,0
黄巢之乱,auth,0
黄巾,auth,1
黄巾之乱,auth,0
黄巾军,auth,0
黄巾民变,auth,0
黄巾起义,auth,1
黄炎贵胄,auth,0
遵照,auth,140
遵守,auth,465
遵从,auth,2
尊崇,auth,7
祖先,auth,67
种姓,auth,1
衷心,auth,204
忠顺,auth,1
资产,auth,89
指令,auth,44
指挥,auth,891
职称,auth,55
支配,auth,196
之母,auth,12
之父,auth,1
掌权,auth,34
责任,auth,1070
允许,auth,1087
依法,auth,261
依从,auth,0
唯命是从,auth,8
威权,auth,2
听从,auth,70
顺从,auth,16
市民,auth,189
荣誉,auth,208
屈服,auth,74
屈从,auth,24
排名,auth,1
省亲,auth,3
命令,auth,577
控制,auth,1893
敬重,auth,15
敬仰,auth,37
敬畏,auth,0
阶级,auth,1322
阶层,auth,58
级别,auth,68
合法,auth,373
国父,auth,3
规矩,auth,40
归顺,auth,1
管辖,auth,97
管理,auth,4467
恭顺,auth,1
恭敬,auth,2
高高在上,auth,15
俯首帖耳,auth,3
服从,auth,420
法定,auth,51
奠基者,auth,5
奠基人,auth,16
地位,auth,1118
崇拜,auth,25
臣服,auth,3
鼻祖,auth,4
百依百顺,auth,1
造反,auth,64
异端,auth,15
犯上,auth,2
忤逆,auth,0
不从,auth,0
无礼,auth,1
违抗,auth,15
违反,auth,748
违规,auth,0
违纪,auth,2
违章,auth,23
挑衅,auth,351
骚乱,auth,45
骚动,auth,13
揭发,auth,216
告发,auth,8
举报,auth,0
推翻,auth,438
叛逃,auth,3
目无法纪,auth,4
藐视,auth,16
埋怨,auth,67
离经叛道,auth,11
离间,auth,22
格格不入,auth,29
拒绝,auth,774
桀骜不驯,auth,0
抗法,auth,35
妨碍,auth,315
反叛,auth,7
反抗,auth,307
斥责,auth,51
不同政见,auth,0
不忠实,auth,1
不同意见,auth,0
不顺从,auth,0
不守规矩,auth,0
不敬,auth,2
暴乱,auth,20
暴动,auth,73
抱怨,auth,52
万众一心,loya,46
三角恋爱,loya,0
不分彼此,loya,3
不安其室,loya,0
不履行义务,loya,0
不平等条约,loya,0
不忘国耻,loya,0
不忠不义,loya,0
不忠不孝,loya,0
不渝,loya,0
不诚信,loya,0
不辨忠奸,loya,0
世界海关组织,loya,0
东洋鬼子,loya,0
丢下,loya,41
两相情愿,loya,0
个人崇拜,loya,0
中间派,loya,11
丹心,loya,28
主仆,loya,3
主子,loya,107
义不容辞,loya,33
义务,loya,460
义务兵,loya,0
义务感,loya,0
义字当头,loya,0
义愤填胸,loya,0
义气,loya,3
义薄云天,loya,0
乡亲,loya,15
乱党,loya,4
二奶,loya,0
二心,loya,1
二鬼子,loya,0
互信,loya,0
五四爱国运动,loya,0
交谊,loya,2
亲信,loya,36
亲属,loya,227
亲情,loya,1
亲戚,loya,56
人民公敌,loya,0
人民公社,loya,411
什叶派,loya,46
仁人志士,loya,6
仁至义尽,loya,3
从一而终,loya,0
仗义,loya,1
以身报国,loya,0
众志成城,loya,4
会众,loya,0
伴侣,loya,17
体团,loya,0
余党,loya,15
作乱,loya,5
作伴,loya,5
作合,loya,0
作对,loya,6
作誓,loya,0
俘获,loya,34
保卫祖国,loya,233
保守派,loya,4
信义,loya,9
信从,loya,0
信任,loya,379
信守,loya,26
信守承诺,loya,0
信得过,loya,90
信赖,loya,69
倒戈,loya,12
倒打一耙,loya,18
假途灭虢,loya,0
偷情,loya,0
催讨,loya,1
兄弟义气,loya,0
兄弟阋墙,loya,1
光宗耀祖,loya,1
光荣,loya,700
克己奉公,loya,16
党人,loya,2
党同伐异,loya,0
党徒,loya,3
党性,loya,221
入伙,loya,2
公共团体,loya,0
公忠体国,loya,0
公敌,loya,5
公正清廉,loya,0
共产党员,loya,858
共同体,loya,520
共同利益,loya,74
共和党,loya,121
共赴,loya,0
兵变,loya,15
兵团,loya,79
兵役,loya,10
兵权,loya,0
养汉,loya,0
内乱,loya,8
内人,loya,0
内奸,loya,17
内鬼,loya,0
出卖,loya,78
前仆后继,loya,19
力战,loya,1
劳动人民,loya,0
勇于牺牲,loya,0
勿忘国耻,loya,0
匹夫有责,loya,8
协力,loya,34
协约国,loya,6
卑鄙无耻,loya,2
卖命,loya,30
卖国,loya,43
卖国贼,loya,39
卧底,loya,0
卫国,loya,41
卫士,loya,11
卸磨杀驴,loya,0
友军,loya,2
友爱,loya,19
友谊,loya,2310
反叛分子,loya,0
反围剿,loya,0
反水,loya,1
反目成仇,loya,0
反间谍,loya,7
发誓,loya,13
取信于民,loya,90
叛乱,loya,84
叛乱罪,loya,0
叛军,loya,7
叛匪,loya,0
叛卖,loya,1
叛变,loya,33
叛国罪,loya,2
叛贼,loya,0
叛逆者,loya,1
可信,loya,13
吃皇粮,loya,0
合众为一,loya,0
合作,loya,3310
合作互惠,loya,0
同乡亲故,loya,0
同僚,loya,4
同床异梦,loya,4
同甘共苦,loya,76
同甘苦,loya,11
同窗,loya,1
同胞,loya,204
同道者,loya,0
名誉,loya,122
听话,loya,8
听随,loya,0
告密者,loya,2
告状,loya,30
和睦相处,loya,24
和衷共济,loya,4
哥们义气,loya,1
因公殉职,loya,0
团体,loya,610
团员,loya,210
团契,loya,0
团结,loya,2321
围护,loya,1
国事,loya,17
国人,loya,5
国土,loya,242
国家兴亡,loya,3
国庆,loya,419
国旗,loya,238
国界线,loya,3
国联,loya,15
国蠹,loya,0
国贼,loya,11
圣战,loya,7
地久天长,loya,0
坚贞,loya,11
坚贞不渝,loya,2
外人,loya,14
外国人,loya,201
外地人,loya,2
外御其侮,loya,1
外来人,loya,2
大紫荆勋章,loya,0
天下兴亡,loya,5
天长地久,loya,1
夫妻和睦,loya,0
夷狄,loya,0
奉公廉洁,loya,0
奉献,loya,4
奋勇杀敌,loya,0
奸党,loya,0
奸官污吏,loya,0
奸细,loya,3
奸臣,loya,10
奸贼,loya,7
奸险,loya,2
妻室,loya,0
娘子,loya,2
娘家,loya,13
婚事,loya,20
婚嫁,loya,1
婚恋,loya,0
婚礼,loya,44
婚配,loya,0
媚外,loya,0
嫁娶,loya,0
嫁狗随狗,loya,0
嫁鸡随鸡,loya,0
孝为先,loya,0
孤忠,loya,0
守业,loya,4
守分,loya,0
守土,loya,0
守土有责,loya,0
守敌,loya,61
守旧派,loya,0
守正不阿,loya,0
守法,loya,90
守职,loya,0
守身如玉,loya,0
宗庙,loya,3
宗教团体,loya,4
宗教徒,loya,3
宗族,loya,4
宗派,loya,40
宣誓,loya,68
家丑不可外传,loya,0
家室,loya,1
家庭和谐,loya,0
家门,loya,34
对立,loya,289
将才,loya,1
小集团,loya,15
少数民族,loya,999
就义,loya,20
尽忠,loya,0
尽忠尽职,loya,0
尽职,loya,2
履约,loya,8
山头主义,loya,5
山盟海誓,loya,0
崇洋媚外,loya,8
左右逢源,loya,2
帮手,loya,2
帮教,loya,35
帮派,loya,76
平叛,loya,2
廉洁,loya,6
廉洁公正,loya,0
廉洁奉公,loya,37
廉洁清正,loya,0
廉洁纪律,loya,0
廉直,loya,0
开国功臣,loya,3
异心,loya,0
异教徒,loya,2
异见者,loya,0
弃义,loya,0
弟兄,loya,18
归国,loya,67
归属,loya,21
归属感,loya,0
归心,loya,2
征兵,loya,92
心腹,loya,31
志同道合,loya,14
忘义,loya,0
忘恩负义,loya,13
忠义,loya,7
忠于,loya,185
忠于人民,loya,0
忠于国家,loya,0
忠于职守,loya,10
忠信,loya,3
忠勇,loya,0
忠厚,loya,7
忠厚老实,loya,3
忠君,loya,2
忠君报国,loya,0
忠实,loya,202
忠心,loya,14
忠心不二,loya,0
忠心报国,loya,0
忠心耿耿,loya,49
忠心赤胆,loya,1
忠烈,loya,1
忠烈祠,loya,0
忠肝义胆,loya,0
忠臣义士,loya,0
忠臣良将,loya,0
忠良,loya,14
忠节,loya,0
忠言,loya,3
忠言逆耳,loya,1
忠诚,loya,187
忠诚为民,loya,0
忠诚之心,loya,0
忠诚勇敢,loya,0
忠诚可靠,loya,0
忠诚老实,loya,8
忠贞不二,loya,4
忠贞不屈,loya,0
忠贞不渝,loya,4
忠贞不贰,loya,0
忠贞爱国,loya,0
忠贞爱情,loya,0
忠骨,loya,9
忠魂,loya,9
忤逆不孝,loya,0
怀恨,loya,0
恪守,loya,19
悔婚,loya,0
患难之交,loya,3
情义,loya,4
情同手足,loya,3
情同骨肉,loya,0
情妇,loya,0
情有独钟,loya,0
愚忠,loya,0
慷慨赴义,loya,0
成仁取义,loya,0
战友,loya,551
战士,loya,2249
戚族,loya,0
戮力同心,loya,0
所属,loya,383
手足亲情,loya,0
扶清灭洋,loya,0
投军,loya,1
投奔,loya,44
投敌,loya,17
投靠,loya,36
抗战,loya,186
抗日救亡,loya,17
抛下,loya,2
抟沙,loya,0
护国战,loya,0
护国战争,loya,0
护法战争,loya,0
披肝沥胆,loya,1
抱团,loya,0
拉钩,loya,0
招安,loya,0
招降纳叛,loya,4
拜天地,loya,0
拱卫,loya,1
挚友良朋,loya,0
挟洋自重,loya,0
捐躯,loya,3
损公肥私,loya,6
授勋,loya,18
排他,loya,0
排外,loya,7
提携,loya,3
搬唇递舌,loya,0
摇旗呐喊,loya,5
操守,loya,0
攀亲,loya,1
故土,loya,11
故训,loya,0
效劳,loya,96
效忠,loya,8
敌军,loya,173
敌台,loya,0
敌害,loya,3
敌对,loya,86
敌情,loya,49
敌手,loya,3
敌方,loya,22
敌特,loya,22
敌视,loya,80
敌阵,loya,54
救国,loya,185
教友,loya,0
教徒,loya,19
教民,loya,1
教派,loya,30
族人,loya,19
族类,loya,0
族群,loya,0
无信义,loya,0
无情无义,loya,1
无耻小人,loya,0
旧部,loya,1
旨意,loya,22
更和谐,loya,0
有难同当,loya,0
朋党,loya,1
朋友义气,loya,0
本土派,loya,0
杀敌,loya,62
杀熟,loya,0
杀虎斩蛟,loya,0
杀身成仁,loya,0
树倒猢狲散,loya,1
检举,loya,55
歃血,loya,1
武警战士,loya,0
死党,loya,85
死守,loya,13
死忠,loya,0
死战,loya,0
死敌,loya,2
殉情,loya,0
殉节,loya,0
殊荣,loya,0
毁家纾难,loya,0
氏族,loya,9
民族,loya,4441
民族主义,loya,80
民族气节,loya,4
水兵,loya,10
求婚,loya,3
汉奸,loya,18
江湖义气,loya,3
污吏,loya,1
法定义务,loya,0
洋人,loya,9
派别,loya,55
派性,loya,319
海瑞,loya,72
海誓山盟,loya,1
清廉自守,loya,0
清正廉明,loya,0
清风两袖,loya,0
清高,loya,0
渎职,loya,14
溃逃,loya,31
满门忠烈,loya,0
灭此朝食,loya,0
烈士,loya,475
热爱祖国,loya,68
爱人,loya,255
爱国,loya,570
爱国主义,loya,174
爱国如家,loya,0
爱国者,loya,103
爱岗敬业,loya,0
爱戴,loya,97
特务,loya,282
牺牲,loya,452
牺牲品,loya,11
牺牲者,loya,14
献出,loya,144
生土,loya,1
番邦,loya,3
疏忽职守,loya,0
病友,loya,8
百越,loya,0
皇恩,loya,0
益友,loya,8
盟员,loya,27
盟约,loya,6
盟邦,loya,1
目无组织,loya,0
相互信任,loya,11
相公,loya,0
相濡以沫,loya,0
相爱,loya,9
眼线,loya,2
知情不报,loya,0
碍难从命,loya,0
社区,loya,1
社员,loya,6094
社团,loya,11
社群,loya,0
祖国,loya,2872
私谋叛国,loya,0
种族主义,loya,372
种族主义者,loya,33
种族歧视,loya,48
窃权,loya,0
策反,loya,5
篡党,loya,7
篡立,loya,0
篡逆,loya,0
精诚,loya,0
红杏出墙,loya,1
线人,loya,0
细作,loya,3
结义,loya,1
结党,loya,1
结党营私,loya,7
结婚,loya,198
结队,loya,3
绝情寡义,loya,0
统一战线,loya,496
群众团体,loya,65
群众组织,loya,76
老乡,loya,46
老伴,loya,94
老外,loya,0
老实忠厚,loya,0
耿耿忠心,loya,1
职责,loya,175
联盟,loya,723
股肱,loya,0
背义,loya,0
背信,loya,2
背叛者,loya,0
背离人民,loya,0
胳膊肘朝外拐,loya,0
腐败,loya,45
舍生忘死,loya,13
舍车保帅,loya,1
良友,loya,3
良禽择木而栖,loya,0
英勇作战,loya,19
英勇奋战,loya,0
英勇就义,loya,0
英勇战斗,loya,0
英勇牺牲,loya,0
英勇献身,loya,35
英雄,loya,1468
荣幸,loya,55
荣耀,loya,4
薄养厚葬,loya,0
薄情寡义,loya,0
藏族,loya,152
虽死犹荣,loya,0
蠹国害民,loya,0
血肉相连,loya,29
血脉,loya,4
衣锦荣归,loya,0
见利忘义,loya,0
见利思义,loya,0
见外,loya,1
见异思迁,loya,0
誓师,loya,1
誓死,loya,5
誓死效忠,loya,0
誓约,loya,0
誓言,loya,81
誓词,loya,4
认贼作父,loya,0
讲义气,loya,0
许诺,loya,52
诚服,loya,0
诚笃,loya,0
诛锄异己,loya,0
诡诈,loya,3
谏征,loya,0
谨守,loya,0
貌合心离,loya,0
负心,loya,0
贤妻良母,loya,0
贪官,loya,5
贪官污吏,loya,6
贪腐,loya,0
贼窝,loya,0
赃官污吏,loya,0
赤胆忠心,loya,24
赤胆忠诚,loya,0
赤诚相见,loya,0
走狗,loya,80
起誓,loya,1
转战千里,loya,0
转面无情,loya,0
轻诺寡信,loya,1
辅弼,loya,1
违恩负义,loya,0
违言,loya,0
连手,loya,1
追随者,loya,30
逆产,loya,0
逆我者亡,loya,6
逆贼,loya,4
道义,loya,42
邦交,loya,87
部族,loya,35
里勾外连,loya,0
重义,loya,0
重义气,loya,0
重情义,loya,1
重情重义,loya,0
重色轻友,loya,0
锄奸,loya,1
门生,loya,4
间谍网,loya,3
阳奉阴违,loya,13
阵营,loya,27
难兄难弟,loya,3
靖乱,loya,0
靖国神社,loya,0
革出教门,loya,0
顺我者昌,loya,6
顺治,loya,0
领土,loya,1287
驻军,loya,245
骨肉,loya,31
骨血,loya,0
高山族,loya,31
鬼子,loya,11
黄花岗七十二烈士,loya,0
黑鬼,loya,0
自己人,loya,0
自家人,loya,7
咱们,loya,169
支持,loya,4150
一致,loya,1196
一员,loya,42
一起,loya,2910
业内,loya,0
协约,loya,1
协会,loya,996
团队,loya,7
统一,loya,2606
同志,loya,22763
同心,loya,8
同德,loya,2
同事,loya,74
同盟,loya,159
同类,loya,67
同侪,loya,0
同辈,loya,5
同伴,loya,34
世代相传,loya,22
社会,loya,4425
群体,loya,8
全体,loya,828
圈子,loya,24
圈内,loya,3
齐心,loya,26
心齐,loya,8
派系,loya,35
内部,loya,1192
盟友,loya,107
联手,loya,0
联结,loya,77
连同,loya,73
结盟,loya,120
结合,loya,1665
家族,loya,93
家庭,loya,861
家人,loya,69
继承,loya,449
集团,loya,1197
集体,loya,2696
伙伴,loya,105
会员,loya,196
行会,loya,2
国民,loya,407
国家,loya,18341
亲密,loya,170
共用,loya,17
共同,loya,1860
公社,loya,4870
公会,loya,12
公共,loya,122
工会,loya,390
队伍,loya,913
党员,loya,1276
成员,loya,983
异族,loya,10
异己,loya,8
恶棍,loya,14
混蛋,loya,5
移民,loya,222
邪说,loya,3
邪教,loya,0
危害国家,loya,0
外国,loya,2346
脱党,loya,2
退党,loya,17
叛党,loya,12
通敌,loya,1
逃亡,loya,60
逃兵,loya,14
双开,loya,1
双规,loya,0
舍弃,loya,7
擅离,loya,5
欺瞒,loya,0
抛弃,loya,144
叛徒,loya,188
叛离,loya,0
叛教,loya,0
叛国,loya,32
离弃,loya,0
开除,loya,95
间谍,loya,152
辜负,loya,123
异类,loya,0
另类,loya,0
个别人,loya,65
敌人,loya,3757
单独,loya,160
出头鸟,loya,0
不忠,loya,0
不守信,loya,0
不法,loya,5
变节,loya,3
背信弃义,loya,97
背弃,loya,17
背叛,loya,88
暴恐,loya,0
一人得道,fair,5
鸡犬升天,fair,7
一刀两断,fair,7
一吐为快,fair,0
一步登天,fair,8
一清二白,fair,1
一纸空文,fair,23
一言九鼎,fair,1
三民主义,fair,9
上下其手,fair,1
上当,fair,34
不义之财,fair,4
不人道,fair,27
不信用,fair,0
不值一文,fair,0
不偏不倚,fair,6
不偏斜,fair,0
不做亏心事,fair,0
不公正,fair,0
不劳无获,fair,0
不劳而获,fair,9
不合法,fair,0
不啻天渊,fair,0
不平则鸣,fair,2
不平等条约,fair,0
不当得利,fair,0
不怕鬼敲门,fair,0
不愧不怍,fair,0
不正当竞争,fair,0
不法分子,fair,7
不白之冤,fair,31
不知悔改,fair,0
不经之谈,fair,0
不见天日,fair,0
