Year,友善,关心,保护,同情,欺负,伤害,折磨,践踏,公平,权利,一致,平等,排外,作假,不公,歧视,忠心,同胞,爱国,团结,汉奸,背叛,变节,不忠,权威,服从,尊崇,合法,反叛,违抗,犯上,颠覆,崇高,纯净,神圣,清白,玷污,传染,罪恶,肮脏
1979,2.10313596957155,93.8222226921898,18.40117703693556,100.0,63.967275169090975,34.47418199278477,100.0,100.0,5.602524189466211,66.52331675157139,100.0,50.23672076767398,7.904743218716124,6.252104916174778,5.7546513317826005,74.44081448046228,46.05785518468302,25.12174935934457,69.56434118331732,82.31880474846194,28.39663594558083,100.0,36.02129731322778,0.0,32.625562222536914,100.0,5.825129717474939,70.62495338090456,31.133433230908526,100.0,77.7550484758278,58.19336423051431,81.1034401139226,9.80105653056653,60.23409508735189,31.696564132011133,76.09306543728329,9.46521889147133,100.0,100.0
1980,2.627365633385047,92.47184860619073,20.06899590399346,80.47386469533065,47.35515186130428,33.95248750349067,69.70513980614874,52.90030069471248,6.180948025120549,52.18693862732787,96.30590244945422,50.48364138789406,18.80968952493241,7.810510509418808,9.585414897873829,62.629960804276976,30.139098939123542,25.537651893589608,58.952431062743116,60.87848161085465,59.12468052993955,77.60560429421281,100.0,79.31987936768466,23.198138616805014,88.6380386329023,9.009751608335224,52.82701288984365,37.041697416055754,33.31362525800355,64.75756367104069,39.898611659329724,56.082779133594485,32.650872439180176,42.29060034400785,13.893782361317045,52.81116388979994,6.6383316870621405,68.86951375452655,51.25173116615931
1981,3.912085556094603,94.93214451295476,18.625651960246163,93.83019067785476,76.38659811436635,24.428998071887627,50.32209051160154,32.31479055654263,6.616741607328959,41.82046532169698,99.88381976547282,49.76939822671548,10.269301075711217,18.090591895087126,7.929142808518409,65.6235629053771,16.318694026407755,40.41742978795732,82.53223371312781,81.30780930790017,27.388746615338228,92.06655195872554,89.33858705583391,0.0,12.899751033355923,69.68069063698294,2.75185804585537,49.93424643770836,11.030843031000515,38.58026939222785,32.14082910860541,41.54921854696001,68.45035961461413,22.687644076662647,42.26932123751625,16.55001180028443,41.93844233501159,14.002786036960735,56.04208088225404,60.41415811420294
1982,4.354549155512943,88.61462658653853,22.078165092818736,74.69053460028759,67.69381962361055,29.231356715885088,49.51202622682478,41.275172115415195,6.387555961158453,67.88854911434898,98.33157656236529,52.43745358657914,10.287699007899343,20.712002325520384,4.766008942767565,70.14484267759813,32.69585945683477,30.800835085544936,82.47794224272512,63.770463934328646,37.89031572210206,66.82077589124368,9.94429347826087,39.43900795462527,19.65129358060138,97.01785087147174,6.891970319962949,51.12140484794355,14.734140401527828,44.170728852052164,32.198410904099646,23.36766647649781,71.90518303779524,47.08002938918772,60.32719266763591,16.579661918882522,68.27206264433146,18.153717588100744,48.577183773591024,62.11508744819836
1983,4.896487058913202,83.5508096434233,20.447578662120875,69.33910431704021,39.11229182682553,25.24843644963196,44.631191107178104,38.056187400297745,6.96074981825807,51.11577881192617,86.92641186298921,56.32724586113783,14.340541538786791,7.939663242960318,11.367903196805102,100.0,13.926123577287008,28.35784216839185,88.85765301894743,72.78486772296507,45.41066603473804,49.06503014875343,0.0,80.63149391991725,13.974362955894765,74.38093646079933,5.636144434359901,59.952253296657,7.530842012860959,56.440818994644474,98.74256888124008,27.3706761435323,76.19281127576943,38.16939637426088,44.76880032364938,25.42234792159394,64.42132399640015,10.543908674964925,55.35541862936285,32.56201095844873
1984,4.780293627463198,90.44598504160446,20.217818280397765,63.383605145362,41.12140177484319,28.26753683173199,37.28333887006968,19.653459742662214,4.81102408394156,36.64034674038996,95.85169789209758,50.7011641043552,7.466795249457799,7.751255368976928,6.341796190438316,72.20003527261694,10.876525801588999,38.57566750225808,75.85499607430779,57.104113900937335,29.990019865364896,26.29843398940293,0.0,39.35905598449276,12.363743920407353,65.92498588499987,5.502398964577842,44.914417115070364,7.352135449430077,33.06088844382083,96.39941188512088,15.061023740622643,53.9070724603839,25.92253092709133,37.62805970431203,16.546051118223673,47.16945652069464,12.352442600024176,34.968247392502796,41.32611055477603
1985,3.6410284948492437,85.61489493090504,19.58589921300831,66.3228115300947,51.95330205736622,31.7888326977524,39.72647131918291,22.306212731799736,7.110022001671883,28.794535963887665,81.25430490061217,42.96674014936043,9.557770990105192,43.29552151060761,8.117731051823393,42.958250698735654,27.844701590580428,40.08060669845393,83.29321952337702,47.866063546923016,48.554399624660746,20.110338112772975,9.238730609306717,0.0,18.15778132277641,91.05028444101852,5.122379567149357,54.0502193149045,10.266547912151756,25.64796744817423,29.913884283588608,8.593420823695627,61.75241127095721,43.73962912054134,32.87365420266578,12.836091238054554,56.10943337930795,13.79919558419813,34.772725098005445,34.032879883154266
1986,5.647314105365782,81.4954621572253,23.314320575151466,56.48071555813693,54.52829150354482,32.7457220957832,32.93941006531382,27.988923540427468,8.149902618492288,36.63941253958708,82.36456187704566,55.90100063044655,15.594403968710575,19.18636919461528,8.094070794957691,38.17094299138557,10.095834302817687,24.375075266261366,51.30963530351376,40.51586932803691,16.9445083744353,27.02623633667291,9.211803043225292,36.533955307375024,21.171801090830357,57.539728974852,2.5537248395189653,58.395844572379616,23.885457468841697,40.9171406043392,0.0,12.85256115418468,54.42417537451305,51.13147903686412,34.3898642492695,42.23563959050377,29.18916241417972,12.23020080736358,30.245242153447847,39.83519698258985
1987,4.444943007981916,75.93714015125906,22.286210519011547,48.092651231434346,40.967810813232205,29.438631176915337,38.009286856130956,19.2760703073939,8.835197337476465,36.20190974573723,82.18745205239473,47.62296206685805,6.942979223166043,12.012472817386408,8.108240129870394,30.356698421930776,10.113507888962856,32.27306716963607,46.7097255484599,41.48630156240514,75.17132927390007,24.453527208140198,0.0,36.5979109931541,16.3526288355027,50.32103388069665,5.755939524769275,56.46082502494101,85.45453900554301,61.48315412332393,0.0,8.809252000987248,48.497898234984014,63.27298627022442,43.33172430445285,24.36005922135327,60.917209244748186,18.760279002533633,27.342268059651264,29.559208713136503
1988,4.076433733885434,77.47988397339269,22.439631373963508,48.7538916781779,38.57326572121942,40.7284310723216,38.765289480697554,22.981376825690404,17.713145510795368,43.521129865669785,78.17882794936662,53.75581005967196,7.879619806562868,36.354698540881145,18.59006039475285,35.335343540988035,15.30382362080815,23.677967428605594,38.69974967767264,31.072442001123964,13.454268821991832,29.073967110523164,9.309173452116985,36.92012576173859,33.293138989805705,60.91688346966758,11.61323175911297,65.03184802844986,100.0,25.84352632046504,60.28393925502272,26.204696987770614,41.536897048347086,39.51384253690565,36.653946268642194,24.574529682418138,58.99539418299897,26.263886970706977,27.955737606272272,22.36459008501782
1989,6.86409068721841,80.86228116882037,22.39065500622678,57.81626736881116,40.59467344760728,52.68549904402035,35.47544355774974,33.75367121569609,13.357685177765447,45.26924791298214,97.6256917906536,50.30579728484329,15.663698615797275,66.31706232619551,21.911972113962975,42.145345991239694,29.527319930342443,33.359033913823836,83.34757125792115,49.97720027948478,28.31866263294526,47.287153742318694,68.57910381789527,38.85490172842411,41.45618897447194,61.38941042326789,6.7898977024337395,61.95115180154003,65.32165061194503,48.95611210969465,0.0,100.0,65.31124640262227,68.77443253022136,66.86294032847316,14.97293510397149,82.78268094039936,17.07190642292469,54.91871550767027,53.349609350308256
